sub,acc,train_task,test_task,iteration
MSC05,0.4992857142857144,mem,motor,2
MSC06,0.49499999999999994,mem,motor,2
MSC07,0.4971428571428572,mem,motor,2
MSC10,0.4957142857142857,mem,motor,2
MSC01,0.512857142857143,motor,mixed,2
MSC02,0.5028571428571429,motor,mixed,2
MSC03,0.5014285714285714,motor,mixed,2
MSC04,0.49500000000000005,motor,mixed,2
MSC05,0.5,motor,mixed,2
MSC06,0.5085714285714286,motor,mixed,2
MSC07,0.4907142857142857,motor,mixed,2
MSC10,0.4764285714285714,motor,mixed,2
MSC01,0.5028571428571428,motor,mem,2
MSC02,0.5,motor,mem,2
MSC03,0.5335714285714286,motor,mem,2
MSC04,0.5164285714285713,motor,mem,2
MSC05,0.5057142857142857,motor,mem,2
MSC06,0.48928571428571427,motor,mem,2
MSC07,0.4992857142857144,motor,mem,2
MSC10,0.5092857142857143,motor,mem,2
MSC01,0.515,mixed,mem,3
MSC02,0.5042857142857142,mixed,mem,3
MSC03,0.48714285714285716,mixed,mem,3
MSC04,0.51,mixed,mem,3
MSC05,0.5200000000000001,mixed,mem,3
MSC06,0.5057142857142859,mixed,mem,3
MSC07,0.5050000000000001,mixed,mem,3
MSC10,0.49714285714285716,mixed,mem,3
MSC01,0.5021428571428571,mixed,motor,3
MSC02,0.5292857142857144,mixed,motor,3
MSC03,0.49071428571428577,mixed,motor,3
MSC04,0.5192857142857144,mixed,motor,3
MSC05,0.5464285714285715,mixed,motor,3
MSC06,0.5050000000000001,mixed,motor,3
MSC07,0.4985714285714286,mixed,motor,3
MSC10,0.505,mixed,motor,3
MSC01,0.49642857142857144,mem,mixed,3
MSC02,0.5250000000000001,mem,mixed,3
MSC03,0.5214285714285715,mem,mixed,3
MSC04,0.525,mem,mixed,3
MSC05,0.49214285714285716,mem,mixed,3
MSC06,0.5021428571428571,mem,mixed,3
MSC07,0.485,mem,mixed,3
MSC10,0.4878571428571429,mem,mixed,3
MSC01,0.5142857142857143,mem,motor,3
MSC02,0.4842857142857143,mem,motor,3
MSC03,0.4900000000000001,mem,motor,3
MSC04,0.5157142857142857,mem,motor,3
MSC05,0.47142857142857136,mem,motor,3
MSC06,0.5214285714285715,mem,motor,3
MSC07,0.48214285714285715,mem,motor,3
MSC10,0.515,mem,motor,3
MSC01,0.49428571428571433,motor,mixed,3
MSC02,0.5192857142857144,motor,mixed,3
MSC03,0.5014285714285716,motor,mixed,3
MSC04,0.4828571428571428,motor,mixed,3
MSC05,0.5157142857142858,motor,mixed,3
MSC06,0.49857142857142867,motor,mixed,3
MSC07,0.5057142857142857,motor,mixed,3
MSC10,0.5064285714285715,motor,mixed,3
MSC01,0.4992857142857142,motor,mem,3
MSC02,0.49571428571428566,motor,mem,3
MSC03,0.5035714285714287,motor,mem,3
