sess,MSC01,MSC02,MSC03,MSC04,MSC05,MSC06,MSC07,MSC10
0,328,338,352,290,343,332,355,274
1,299,350,339,356,343,349,346,170
2,336,320,335,165,356,359,353,284
3,330,336,237,284,359,359,352,288
4,274,352,129,353,350,357,308,274
5,201,308,0,320,323,361,338,90
6,309,344,122,340,350,360,346,134
7,290,333,0,345,341,240,353,292
8,201,357,150,343,356,337,340,312
9,317,322,111,349,349,355,305,336
