sess,MSC01,MSC02,MSC03,MSC04,MSC05,MSC06,MSC07,MSC10
0,356,269,368,329,300,358,367,277
1,355,334,337,221,347,327,359,177
2,305,311,251,300,372,379,345,319
3,287,281,211,223,363,372,363,249
4,272,288,288,345,342,365,350,244
5,230,261,175,217,323,373,351,339
6,273,256,243,367,362,355,339,139
7,280,372,58,341,303,60,369,200
8,84,356,212,361,334,363,367,342
9,268,356,301,310,268,339,332,203
