sub,mixed,motor,mem
MSC01,1.0,0.95,0.95
MSC02,0.8,0.85,0.75
MSC03,0.8,1.0,0.8125
MSC04,0.8,0.95,0.8
MSC05,0.85,0.85,0.9
MSC06,0.7,0.9444444444444444,0.75
MSC07,0.9,0.9444444444444444,0.85
MSC10,0.9,0.9,0.85
