sub,mixed,motor,mem
MSC01,0.7,0.6,0.75
MSC02,0.6,0.5,0.7
MSC03,0.4,0.75,0.3958333333333333
MSC04,0.8,0.8,0.9
MSC05,0.3,0.75,0.5
MSC06,0.45,0.8333333333333334,0.65
MSC07,0.5,0.7222222222222222,0.6
MSC10,0.7,0.8,0.5
