sub,semantic,glass,motor,mem
MSC01,0.95,0.8,0.95,1.0
MSC02,0.85,0.8,0.95,0.95
MSC03,0.8,0.8,1.0,0.9
MSC04,0.9,0.9,0.95,0.95
MSC05,0.9,0.75,1.0,1.0
MSC06,0.85,0.7222222222222222,0.95,1.0
MSC07,1.0,0.85,0.95,0.9
MSC10,0.8,0.8,0.95,0.9
