train,diff
MSC01,0.0753623188405797
MSC02,0.09217391304347827
MSC03,-0.13695965417867434
MSC04,-0.04869565217391303
MSC05,-0.014782608695652177
MSC06,0.1736151136727506
MSC07,0.013744380218368657
MSC10,-0.10521739130434783
MSC01,-0.048405797101449266
MSC02,-0.10347826086956521
MSC03,-0.017723342939481246
MSC04,-0.025797101449275356
MSC05,0.06521739130434784
MSC06,0.033301312840217756
MSC07,-0.01843288375080282
MSC10,-0.03478260869565214
MSC01,-0.04608695652173911
MSC02,-0.0426086956521739
MSC03,0.00893371757925071
MSC04,-0.025797101449275356
MSC05,0.1139130434782609
MSC06,-0.03208453410182516
MSC07,0.006294155427103404
MSC10,0.026956521739130462
MSC01,-0.0927536231884058
MSC02,0.0849275362318841
MSC03,0.06087896253602304
MSC04,0.013913043478260861
MSC05,0.03884057971014493
MSC06,0.09465257764969581
MSC07,0.02832369942196533
MSC10,-0.00753623188405797
MSC01,0.00260869565217392
MSC02,-0.040869565217391296
MSC03,-0.026729106628242044
MSC04,0.028405797101449304
MSC05,-0.016811594202898544
MSC06,-0.001408901697086129
MSC07,-0.021965317919075134
MSC10,0.010724637681159443
MSC01,0.0655072463768116
MSC02,-0.02637681159420288
MSC03,-0.00929394812680115
MSC04,0.012463768115942048
MSC05,-0.05304347826086955
MSC06,0.0072366314441242585
MSC07,0.0012202954399486154
MSC10,-0.004347826086956524
MSC01,-0.014782608695652177
MSC02,0.04956521739130437
MSC03,0.0835014409221902
MSC04,-0.06434782608695652
MSC05,0.043478260869565216
MSC06,0.04604546910022414
MSC07,-0.06101477199743095
MSC10,0.006956521739130445
MSC01,-0.045797101449275346
MSC02,-0.006666666666666654
MSC03,-0.07744956772334294
MSC04,0.051014492753623214
MSC05,-0.0579710144927536
MSC06,0.03727185398655142
MSC07,-0.034489402697495175
MSC10,-0.025217391304347803
MSC01,0.013333333333333336
MSC02,-0.05478260869565216
MSC03,-0.11231988472622478
MSC04,0.08347826086956525
MSC05,0.08347826086956525
MSC06,-0.03784822286263209
MSC07,-0.04418754014129736
MSC10,0.07797101449275362
MSC01,0.003478260869565236
MSC02,-0.1026086956521739
MSC03,-0.03969740634005761
MSC04,-0.07014492753623187
MSC05,0.01014492753623189
MSC06,-0.04841498559077809
MSC07,-0.0016698779704559796
MSC10,0.1043478260869565
MSC01,-0.004347826086956497
MSC02,0.012463768115942048
MSC03,-0.030691642651296813
MSC04,0.023478260869565226
MSC05,0.011594202898550732
MSC06,0.052129362792186995
MSC07,0.07456647398843932
MSC10,-0.002028985507246367
MSC01,-0.03565217391304348
MSC02,-0.014492753623188415
MSC03,-0.012319884726224778
MSC04,0.05130434782608698
MSC05,-0.0744927536231884
MSC06,-0.06391290425872559
MSC07,-0.024919717405266523
MSC10,0.009565217391304365
MSC01,-0.09884057971014493
MSC02,-0.08869565217391304
MSC03,-0.057492795389049
MSC04,-0.020579710144927543
MSC05,-0.0817391304347826
MSC06,-0.01466538584694202
MSC07,-0.05285806037251123
MSC10,0.029855072463768145
MSC01,-0.10376811594202898
MSC02,-0.04869565217391303
MSC03,-0.017002881844380396
