train,acc,network
MSC06,0.0,11
MSC07,0.0,11
MSC10,0.0,11
MSC01,0.0,11
MSC02,0.0,11
MSC03,0.0,11
MSC04,0.0,11
MSC05,0.0,11
MSC06,0.0,11
MSC07,0.0,11
MSC10,0.0,11
MSC01,0.0,12
MSC02,0.0,12
MSC03,0.0,12
MSC04,0.0,12
MSC05,0.0,12
MSC06,0.0,12
MSC07,0.0,12
MSC10,0.0,12
MSC01,0.0,12
MSC02,0.0,12
MSC03,0.0,12
MSC04,0.0,12
MSC05,0.0,12
MSC06,0.0,12
MSC07,0.0,12
MSC10,0.0,12
MSC01,0.0,12
MSC02,0.0,12
MSC03,0.0,12
MSC04,0.0,12
MSC05,0.0,12
MSC06,0.0,12
MSC07,0.0,12
MSC10,0.0,12
MSC01,0.0,12
MSC02,0.0,12
MSC03,0.0,12
MSC04,0.0,12
MSC05,0.0,12
MSC06,0.0,12
MSC07,0.0,12
MSC10,0.0,12
MSC01,0.0,12
MSC02,0.0,12
MSC03,0.0,12
MSC04,0.0,12
MSC05,0.0,12
MSC06,0.0,12
MSC07,0.0,12
MSC10,0.0,12
MSC01,0.0,12
MSC02,0.0,12
MSC03,0.0,12
MSC04,0.0,12
MSC05,0.0,12
MSC06,0.0,12
MSC07,0.0,12
MSC10,0.0,12
MSC01,0.0,12
MSC02,0.0,12
MSC03,0.0,12
MSC04,0.0,12
MSC05,0.0,12
MSC06,0.0,12
MSC07,0.0,12
MSC10,0.0,12
MSC01,0.0,12
MSC02,0.0,12
MSC03,0.0,12
MSC04,0.0,12
MSC05,0.0,12
MSC06,0.0,12
MSC07,0.0,12
MSC10,0.0,12
MSC01,0.0,12
MSC02,0.0,12
MSC03,0.0,12
MSC04,0.0,12
MSC05,0.0,12
MSC06,0.0,12
MSC07,0.0,12
MSC10,0.0,12
MSC01,0.0,12
MSC02,0.0,12
MSC03,0.0,12
MSC04,0.0,12
MSC05,0.0,12
MSC06,0.0,12
MSC07,0.0,12
MSC10,0.0,12
MSC01,0.0,12
MSC02,0.0,12
MSC03,0.0,12
MSC04,0.0,12
MSC05,0.0,12
MSC06,0.0,12
MSC07,0.0,12
MSC10,0.0,12
MSC01,0.0,13
MSC02,0.0,13
MSC03,0.0,13
MSC04,0.0,13
MSC05,0.0,13
MSC06,0.0,13
MSC07,0.0,13
MSC10,0.0,13
MSC01,0.0,13
MSC02,0.0,13
MSC03,0.0,13
MSC04,0.0,13
MSC05,0.0,13
MSC06,0.0,13
MSC07,0.0,13
MSC10,0.0,13
MSC01,0.0,13
MSC02,0.0,13
MSC03,0.0,13
MSC04,0.0,13
MSC05,0.0,13
MSC06,0.0,13
MSC07,0.0,13
MSC10,0.0,13
MSC01,0.0,13
MSC02,0.0,13
MSC03,0.0,13
MSC04,0.0,13
MSC05,0.0,13
MSC06,0.0,13
MSC07,0.0,13
MSC10,0.0,13
MSC01,0.0,13
MSC02,0.0,13
MSC03,0.0,13
MSC04,0.0,13
MSC05,0.0,13
MSC06,0.0,13
MSC07,0.0,13
MSC10,0.0,13
MSC01,0.0,13
MSC02,0.0,13
MSC03,0.0,13
MSC04,0.0,13
MSC05,0.0,13
MSC06,0.0,13
MSC07,0.0,13
MSC10,0.0,13
MSC01,0.0,13
MSC02,0.0,13
MSC03,0.0,13
MSC04,0.0,13
MSC05,0.0,13
MSC06,0.0,13
MSC07,0.0,13
MSC10,0.0,13
MSC01,0.0,13
MSC02,0.0,13
MSC03,0.0,13
MSC04,0.0,13
MSC05,0.0,13
MSC06,0.0,13
MSC07,0.0,13
MSC10,0.0,13
MSC01,0.0,13
MSC02,0.0,13
MSC03,0.0,13
MSC04,0.0,13
MSC05,0.0,13
MSC06,0.0,13
MSC07,0.0,13
MSC10,0.0,13
MSC01,0.0,13
MSC02,0.0,13
MSC03,0.0,13
MSC04,0.0,13
MSC05,0.0,13
MSC06,0.0,13
MSC07,0.0,13
MSC10,0.0,13
MSC01,0.0,14
MSC02,0.0,14
MSC03,0.0,14
MSC04,0.0,14
MSC05,0.0,14
MSC06,0.0,14
MSC07,0.0,14
MSC10,0.0,14
MSC01,0.0,14
MSC02,0.0,14
MSC03,0.0,14
MSC04,0.0,14
MSC05,0.0,14
MSC06,0.0,14
MSC07,0.0,14
MSC10,0.0,14
MSC01,0.0,14
MSC02,0.0,14
MSC03,0.0,14
MSC04,0.0,14
MSC05,0.0,14
MSC06,0.0,14
MSC07,0.0,14
MSC10,0.0,14
MSC01,0.0,14
MSC02,0.0,14
MSC03,0.0,14
MSC04,0.0,14
MSC05,0.0,14
MSC06,0.0,14
MSC07,0.0,14
MSC10,0.0,14
MSC01,0.0,14
MSC02,0.0,14
MSC03,0.0,14
MSC04,0.0,14
MSC05,0.0,14
MSC06,0.0,14
MSC07,0.0,14
MSC10,0.0,14
MSC01,0.0,14
MSC02,0.0,14
MSC03,0.0,14
MSC04,0.0,14
MSC05,0.0,14
MSC06,0.0,14
MSC07,0.0,14
MSC10,0.0,14
MSC01,0.0,14
MSC02,0.0,14
MSC03,0.0,14
MSC04,0.0,14
MSC05,0.0,14
MSC06,0.0,14
MSC07,0.0,14
MSC10,0.0,14
MSC01,0.0,14
MSC02,0.0,14
MSC03,0.0,14
MSC04,0.0,14
MSC05,0.0,14
MSC06,0.0,14
MSC07,0.0,14
MSC10,0.0,14
MSC01,0.0,14
MSC02,0.0,14
MSC03,0.0,14
MSC04,0.0,14
MSC05,0.0,14
MSC06,0.0,14
MSC07,0.0,14
MSC10,0.0,14
MSC01,0.0,15
MSC02,0.0,15
MSC03,0.0,15
MSC04,0.0,15
MSC05,0.0,15
MSC06,0.0,15
MSC07,0.0,15
MSC10,0.0,15
MSC01,0.0,15
MSC02,0.0,15
MSC03,0.0,15
MSC04,0.0,15
MSC05,0.0,15
MSC06,0.0,15
MSC07,0.0,15
MSC10,0.0,15
MSC01,0.0,15
MSC02,0.0,15
MSC03,0.0,15
MSC04,0.0,15
MSC05,0.0,15
MSC06,0.0,15
MSC07,0.0,15
MSC10,0.0,15
MSC01,0.0,15
MSC02,0.0,15
MSC03,0.0,15
MSC04,0.0,15
MSC05,0.0,15
MSC06,0.0,15
MSC07,0.0,15
MSC10,0.0,15
MSC01,0.0,15
MSC02,0.0,15
MSC03,0.0,15
MSC04,0.0,15
MSC05,0.0,15
MSC06,0.0,15
MSC07,0.0,15
MSC10,0.0,15
MSC01,0.0,15
MSC02,0.0,15
MSC03,0.0,15
MSC04,0.0,15
MSC05,0.0,15
MSC06,0.0,15
MSC07,0.0,15
MSC10,0.0,15
MSC01,0.0,15
MSC02,0.0,15
MSC03,0.0,15
MSC04,0.0,15
MSC05,0.0,15
MSC06,0.0,15
MSC07,0.0,15
MSC10,0.0,15
MSC01,0.0,15
MSC02,0.0,15
MSC03,0.0,15
MSC04,0.0,15
MSC05,0.0,15
MSC06,0.0,15
MSC07,0.0,15
MSC10,0.0,15
MSC01,0.0,15
MSC02,0.0,15
MSC03,0.0,15
MSC04,0.0,15
MSC05,0.0,15
MSC06,0.0,15
MSC07,0.0,15
MSC10,0.0,15
MSC01,0.0,16
MSC02,0.0,16
MSC03,0.0,16
MSC04,0.0,16
MSC05,0.0,16
MSC06,0.0,16
MSC07,0.0,16
MSC10,0.0,16
MSC01,0.0,16
MSC02,0.0,16
MSC03,0.0,16
MSC04,0.0,16
MSC05,0.0,16
