,acc,train,test,train_task,test_task
0,0.55,MSC06,MSC07,semantic,motor
1,0.55,MSC06,MSC07,semantic,motor
2,0.55,MSC06,MSC07,semantic,motor
3,0.55,MSC06,MSC07,semantic,motor
4,0.55,MSC06,MSC07,semantic,motor
5,0.6,MSC06,MSC07,semantic,motor
6,0.7,MSC06,MSC07,semantic,motor
7,0.75,MSC06,MSC07,semantic,motor
8,0.55,MSC06,MSC07,semantic,motor
9,0.55,MSC06,MSC07,semantic,motor
