,acc,train,test,train_task,test_task
0,0.7,MSC10,MSC06,mem,semantic
1,0.7,MSC10,MSC06,mem,semantic
2,0.65,MSC10,MSC06,mem,semantic
3,0.65,MSC10,MSC06,mem,semantic
4,0.65,MSC10,MSC06,mem,semantic
5,0.75,MSC10,MSC06,mem,semantic
6,0.65,MSC10,MSC06,mem,semantic
7,0.65,MSC10,MSC06,mem,semantic
8,0.7,MSC10,MSC06,mem,semantic
9,0.65,MSC10,MSC06,mem,semantic
