,acc,train,test,train_task,test_task
0,0.7,MSC01,MSC05,mem,motor
1,0.9,MSC01,MSC05,mem,motor
2,0.85,MSC01,MSC05,mem,motor
3,0.85,MSC01,MSC05,mem,motor
4,0.9,MSC01,MSC05,mem,motor
5,0.75,MSC01,MSC05,mem,motor
6,0.95,MSC01,MSC05,mem,motor
7,0.8,MSC01,MSC05,mem,motor
8,0.95,MSC01,MSC05,mem,motor
9,0.8,MSC01,MSC05,mem,motor
