,acc,train,test,train_task,test_task
0,0.6,MSC02,MSC07,mem,glass
1,0.95,MSC02,MSC07,mem,glass
2,0.95,MSC02,MSC07,mem,glass
3,0.95,MSC02,MSC07,mem,glass
4,0.95,MSC02,MSC07,mem,glass
5,0.8,MSC02,MSC07,mem,glass
6,0.95,MSC02,MSC07,mem,glass
7,0.95,MSC02,MSC07,mem,glass
8,0.95,MSC02,MSC07,mem,glass
9,0.95,MSC02,MSC07,mem,glass
