task,acc
mixed,0.565
motor,0.75
mem,0.75
mixed,0.57
motor,0.7100000000000001
mem,0.6249999999999999
mixed,0.67
motor,0.75
mem,0.5250000000000001
mixed,0.6399999999999999
motor,0.5799999999999998
mem,0.805
mixed,0.485
motor,0.5999999999999999
mem,0.6449999999999999
mixed,0.845
motor,0.675
mem,0.685
mixed,0.6900000000000001
motor,0.78
mem,0.605
mixed,0.595
motor,0.5999999999999999
mem,0.8800000000000001
mixed,0.7449999999999999
motor,0.6900000000000002
mem,0.755
mixed,0.755
motor,0.76
mem,0.6950000000000001
mixed,0.5549999999999999
motor,0.5499999999999999
mem,0.865
mixed,0.7599999999999999
motor,0.795
mem,0.7200000000000001
mixed,0.7999999999999999
motor,0.595
mem,0.76
mixed,0.6300000000000001
motor,0.625
mem,0.6200000000000001
mixed,0.5850000000000001
motor,0.55
mem,0.505
mixed,0.705
motor,0.49000000000000005
mem,0.8249999999999998
mixed,0.53
motor,0.9
mem,0.6549999999999999
mixed,0.52
motor,0.7050000000000001
mem,0.6700000000000002
mixed,0.755
motor,0.675
mem,0.5
mixed,0.655
motor,0.545
mem,0.6950000000000001
mixed,0.53
motor,0.49499999999999994
mem,0.625
mixed,0.655
motor,0.72
mem,0.5599999999999998
mixed,0.745
motor,0.5449999999999999
mem,0.5549999999999999
mixed,0.72
motor,0.8950000000000001
mem,0.7150000000000001
mixed,0.6
motor,0.5999999999999999
mem,0.695
mixed,0.62
motor,0.615
mem,0.585
mixed,0.825
motor,0.5700000000000001
mem,0.55
mixed,0.675
motor,0.585
mem,0.635
mixed,0.7449999999999999
motor,0.595
mem,0.6749999999999999
mixed,0.7949999999999999
motor,0.525
mem,0.9099999999999999
mixed,0.62
motor,0.865
mem,0.675
mixed,0.72
motor,0.5900000000000001
mem,0.8099999999999999
mixed,0.545
motor,0.74
mem,0.625
mixed,0.635
motor,0.7899999999999999
mem,0.735
mixed,0.605
motor,0.615
mem,0.67
mixed,0.655
motor,0.5499999999999999
mem,0.7999999999999999
mixed,0.7349999999999999
motor,0.8799999999999999
mem,0.655
mixed,0.725
motor,0.8699999999999999
mem,0.8150000000000001
mixed,0.6849999999999999
motor,0.6649999999999999
mem,0.5700000000000001
mixed,0.845
motor,0.6199999999999999
mem,0.845
mixed,0.8150000000000001
motor,0.7250000000000001
mem,0.6700000000000002
mixed,0.63
motor,0.5799999999999998
mem,0.5449999999999999
mixed,0.635
motor,0.6399999999999999
mem,0.8049999999999999
mixed,0.735
motor,0.715
mem,0.6
mixed,0.5950000000000001
motor,0.655
mem,0.5249999999999999
mixed,0.51
motor,0.5399999999999999
mem,0.49000000000000005
mixed,0.725
motor,0.64
mem,0.7700000000000001
mixed,0.565
motor,0.79
mem,0.685
mixed,0.595
motor,0.5499999999999999
mem,0.635
mixed,0.7649999999999999
motor,0.5599999999999999
mem,0.6700000000000002
mixed,0.635
motor,0.6
mem,0.6199999999999999
mixed,0.6749999999999999
motor,0.525
mem,0.78
mixed,0.82
motor,0.5799999999999998
mem,0.9199999999999999
mixed,0.6
motor,0.51
mem,0.89
mixed,0.6200000000000001
motor,0.585
mem,0.59
mixed,0.5549999999999999
motor,0.58
mem,0.595
