sub,mixed,motor,mem
MSC01,0.95,1.0,1.0
MSC02,1.0,0.95,0.95
MSC03,0.95,0.9,0.95
MSC04,0.95,1.0,1.0
MSC05,1.0,0.95,1.0
MSC06,0.95,1.0,1.0
MSC07,1.0,1.0,0.9
MSC10,0.9,1.0,1.0
