task,sub,acc
Semantic,MSC06,1.0
Semantic,MSC06,1.0
Semantic,MSC06,1.0
Semantic,MSC06,0.5
Semantic,MSC06,1.0
Semantic,MSC06,1.0
Semantic,MSC06,1.0
Semantic,MSC07,1.0
Semantic,MSC07,1.0
Semantic,MSC07,1.0
Semantic,MSC07,1.0
Semantic,MSC07,1.0
Semantic,MSC07,1.0
Semantic,MSC07,1.0
Semantic,MSC07,1.0
Semantic,MSC07,1.0
Semantic,MSC07,1.0
Semantic,MSC10,1.0
Semantic,MSC10,1.0
Semantic,MSC10,0.5
Semantic,MSC10,1.0
Semantic,MSC10,1.0
Semantic,MSC10,1.0
Semantic,MSC10,1.0
Semantic,MSC10,1.0
Semantic,MSC10,1.0
Semantic,MSC10,0.5
Motor,MSC01,1.0
Motor,MSC01,1.0
Motor,MSC01,1.0
Motor,MSC01,1.0
Motor,MSC01,1.0
Motor,MSC01,1.0
Motor,MSC01,1.0
Motor,MSC01,1.0
Motor,MSC01,1.0
Motor,MSC01,1.0
Motor,MSC02,1.0
Motor,MSC02,1.0
Motor,MSC02,1.0
Motor,MSC02,0.5
Motor,MSC02,1.0
Motor,MSC02,1.0
Motor,MSC02,1.0
Motor,MSC02,1.0
Motor,MSC02,1.0
Motor,MSC02,1.0
Motor,MSC03,1.0
Motor,MSC03,1.0
Motor,MSC03,1.0
Motor,MSC03,1.0
Motor,MSC03,1.0
Motor,MSC03,1.0
Motor,MSC03,1.0
Motor,MSC03,1.0
Motor,MSC03,1.0
Motor,MSC03,0.5
Motor,MSC04,1.0
Motor,MSC04,1.0
Motor,MSC04,1.0
Motor,MSC04,1.0
Motor,MSC04,1.0
Motor,MSC04,1.0
Motor,MSC04,1.0
Motor,MSC04,1.0
Motor,MSC04,1.0
Motor,MSC04,1.0
Motor,MSC05,1.0
Motor,MSC05,1.0
Motor,MSC05,1.0
Motor,MSC05,1.0
Motor,MSC05,1.0
Motor,MSC05,1.0
Motor,MSC05,1.0
Motor,MSC05,1.0
Motor,MSC05,1.0
Motor,MSC05,1.0
Motor,MSC06,1.0
Motor,MSC06,1.0
Motor,MSC06,1.0
Motor,MSC06,1.0
Motor,MSC06,1.0
Motor,MSC06,1.0
Motor,MSC06,1.0
Motor,MSC06,1.0
Motor,MSC06,1.0
Motor,MSC06,1.0
Motor,MSC07,1.0
Motor,MSC07,1.0
Motor,MSC07,1.0
Motor,MSC07,1.0
Motor,MSC07,1.0
Motor,MSC07,1.0
Motor,MSC07,1.0
Motor,MSC07,1.0
Motor,MSC07,1.0
Motor,MSC07,1.0
Motor,MSC10,1.0
Motor,MSC10,1.0
Motor,MSC10,1.0
Motor,MSC10,1.0
Motor,MSC10,1.0
Motor,MSC10,1.0
Motor,MSC10,1.0
Motor,MSC10,1.0
Motor,MSC10,1.0
Motor,MSC10,0.5
Memory,MSC01,1.0
Memory,MSC01,1.0
Memory,MSC01,1.0
Memory,MSC01,1.0
Memory,MSC01,1.0
Memory,MSC01,1.0
Memory,MSC01,1.0
Memory,MSC01,1.0
Memory,MSC01,1.0
Memory,MSC01,1.0
Memory,MSC02,1.0
Memory,MSC02,1.0
Memory,MSC02,1.0
Memory,MSC02,1.0
Memory,MSC02,1.0
Memory,MSC02,1.0
Memory,MSC02,1.0
Memory,MSC02,1.0
Memory,MSC02,1.0
Memory,MSC02,1.0
Memory,MSC03,1.0
Memory,MSC03,1.0
Memory,MSC03,1.0
Memory,MSC03,1.0
Memory,MSC03,1.0
Memory,MSC03,1.0
Memory,MSC03,1.0
Memory,MSC03,1.0
Memory,MSC03,1.0
Memory,MSC03,1.0
