Test_Variable,Train_Variable,Mean,Std
mixed,mem,0.7708333333333334,0.1710727126571418
motor,mem,0.8854166666666667,0.13316581738807792
mem,mixed,0.8958333333333333,0.10681165741027596
motor,mixed,0.8854166666666666,0.12549505144230963
mem,motor,0.5,0.2558831578595795
mixed,motor,0.39583333333333337,0.20773724245970415
