sub,glass,semantic,motor,mem
MSC01,0.95,0.95,1.0,1.0
MSC02,0.95,0.9,1.0,1.0
MSC03,0.85,0.8,1.0,1.0
MSC04,0.95,0.95,1.0,1.0
MSC05,1.0,0.95,0.95,1.0
MSC06,0.6851851851851851,0.9,1.0,1.0
MSC07,0.9,0.9,0.9,1.0
MSC10,0.75,0.7,1.0,0.9
