Test_Variable,Train_Variable,Mean,Std
mixed,mem,0.625,0.16060401860990522
motor,mem,0.7708333333333334,0.20290548272689657
mem,mixed,0.8645833333333333,0.13316581738807792
motor,mixed,0.8333333333333333,0.17251638983558856
mem,motor,0.3958333333333333,0.2429563289518875
mixed,motor,0.34375,0.21099490327102502
