,train_task,test_task,sub,acc
0,mixed,motor,MSC01,1.0
1,mixed,mem,MSC01,0.7
2,motor,mixed,MSC01,0.6
3,motor,mem,MSC01,0.3
4,mem,mixed,MSC01,0.9
5,mem,motor,MSC01,0.9
6,mixed,motor,MSC02,0.6
7,mixed,mem,MSC02,0.7
8,motor,mixed,MSC02,0.0
9,motor,mem,MSC02,0.0
10,mem,mixed,MSC02,0.5
11,mem,motor,MSC02,0.3
12,mixed,motor,MSC03,1.0
13,mixed,mem,MSC03,0.7
14,motor,mixed,MSC03,0.1
15,motor,mem,MSC03,0.2
16,mem,mixed,MSC03,0.3
17,mem,motor,MSC03,0.7
18,mixed,motor,MSC04,0.9
19,mixed,mem,MSC04,0.9
20,motor,mixed,MSC04,0.2
21,motor,mem,MSC04,0.4
22,mem,mixed,MSC04,0.9
23,mem,motor,MSC04,0.8
24,mixed,motor,MSC05,0.9
25,mixed,mem,MSC05,1.0
26,motor,mixed,MSC05,0.2
27,motor,mem,MSC05,0.8
28,mem,mixed,MSC05,0.7
29,mem,motor,MSC05,1.0
30,mixed,motor,MSC06,0.9
31,mixed,mem,MSC06,1.0
32,motor,mixed,MSC06,0.2
33,motor,mem,MSC06,0.4
34,mem,mixed,MSC06,0.5
35,mem,motor,MSC06,0.8
36,mixed,motor,MSC07,0.6
37,mixed,mem,MSC07,0.8
38,motor,mixed,MSC07,0.1
39,motor,mem,MSC07,0.0
40,mem,mixed,MSC07,0.9
41,mem,motor,MSC07,0.5
42,mixed,motor,MSC10,0.8
43,mixed,mem,MSC10,0.9
44,motor,mixed,MSC10,0.0
45,motor,mem,MSC10,0.3
46,mem,mixed,MSC10,0.5
47,mem,motor,MSC10,0.8
