,test_task,train_task,Mean,Std
0,glass,mem,0.6505555555555554,0.13793577730093085
1,glass,motor,0.698263888888889,0.14892040577938134
2,glass,semantic,0.7710416666666667,0.07007896623050686
3,mem,glass,0.6154861111111111,0.07891316276449444
4,mem,motor,0.6125,0.0897217922246318
5,mem,semantic,0.568125,0.05687941505626492
6,motor,glass,0.7468055555555555,0.14841988141517476
7,motor,mem,0.6631250000000001,0.15413207462618364
8,motor,semantic,0.725625,0.12973702797802728
9,semantic,glass,0.8445833333333335,0.07544445028870629
10,semantic,mem,0.6906249999999999,0.15316745038402532
11,semantic,motor,0.769375,0.1279072627224227
