train,task,same_sub,diff_sub,feature,Network
MSC07,motor,0.95,0.6364285714285715,fp,4620
MSC10,motor,0.95,0.7564285714285715,fp,4620
MSC01,mem,1.0,0.5078571428571429,fp,4620
MSC02,mem,0.95,0.8757142857142857,fp,4620
MSC03,mem,0.95,0.5885714285714285,fp,4620
MSC04,mem,1.0,0.8178571428571428,fp,4620
MSC05,mem,1.0,0.7235714285714285,fp,4620
MSC06,mem,1.0,0.7842857142857143,fp,4620
MSC07,mem,0.95,0.6807142857142857,fp,4620
MSC10,mem,1.0,0.7692857142857142,fp,4620
MSC01,semantic,1.0,0.8828571428571429,dan,5264
MSC02,semantic,0.9,0.6107142857142858,dan,5264
MSC03,semantic,0.95,0.6728571428571428,dan,5264
MSC04,semantic,0.95,0.8557142857142858,dan,5264
MSC05,semantic,0.95,0.7007142857142857,dan,5264
MSC06,semantic,0.95,0.7892857142857143,dan,5264
MSC07,semantic,1.0,0.6857142857142857,dan,5264
MSC10,semantic,0.8,0.8421428571428572,dan,5264
MSC01,glass,0.9,0.6503597122302158,dan,5264
MSC02,glass,0.85,0.5510791366906475,dan,5264
MSC03,glass,0.9,0.6525179856115108,dan,5264
MSC04,glass,0.95,0.7474820143884892,dan,5264
MSC05,glass,1.0,0.6366906474820144,dan,5264
MSC06,glass,0.8888888888888888,0.5333333333333333,dan,5264
MSC07,glass,0.95,0.6453237410071943,dan,5264
MSC10,glass,0.85,0.6122302158273382,dan,5264
MSC01,motor,1.0,0.6235714285714286,dan,5264
MSC02,motor,0.85,0.5371428571428571,dan,5264
MSC03,motor,0.95,0.8578571428571429,dan,5264
MSC04,motor,1.0,0.8414285714285714,dan,5264
MSC05,motor,1.0,0.7571428571428571,dan,5264
MSC06,motor,1.0,0.6221428571428571,dan,5264
MSC07,motor,0.95,0.5792857142857143,dan,5264
MSC10,motor,0.9,0.6992857142857143,dan,5264
MSC01,mem,1.0,0.5128571428571428,dan,5264
MSC02,mem,1.0,0.8507142857142858,dan,5264
MSC03,mem,0.95,0.6314285714285715,dan,5264
MSC04,mem,1.0,0.6878571428571428,dan,5264
MSC05,mem,1.0,0.705,dan,5264
MSC06,mem,1.0,0.8014285714285715,dan,5264
MSC07,mem,0.95,0.7135714285714285,dan,5264
MSC10,mem,1.0,0.7957142857142857,dan,5264
MSC01,semantic,0.95,0.605,van,3151
MSC02,semantic,0.85,0.6771428571428572,van,3151
MSC03,semantic,0.8,0.6792857142857143,van,3151
MSC04,semantic,0.9,0.7014285714285714,van,3151
MSC05,semantic,0.9,0.6742857142857143,van,3151
MSC06,semantic,0.85,0.7292857142857143,van,3151
MSC07,semantic,1.0,0.645,van,3151
MSC10,semantic,0.8,0.6585714285714286,van,3151
MSC01,glass,0.8,0.518705035971223,van,3151
MSC02,glass,0.8,0.6273381294964029,van,3151
