sub,semantic,glass,motor,mem
MSC01,0.85,0.75,1.0,0.95
MSC02,0.8,0.7,0.85,0.9
MSC03,0.65,0.6,0.95,0.85
MSC04,0.6,0.7,0.8,0.75
MSC05,0.75,0.75,1.0,0.9
MSC06,0.6,0.5185185185185185,0.8,0.75
MSC07,0.85,0.95,0.85,0.75
MSC10,0.85,0.85,1.0,1.0
