sub,mixed,motor,mem
MSC01,0.95,1.0,1.0
MSC02,0.95,0.95,1.0
MSC03,1.0,0.95,0.9375
MSC04,1.0,1.0,1.0
MSC05,1.0,1.0,1.0
MSC06,1.0,1.0,1.0
MSC07,1.0,0.9444444444444444,1.0
MSC10,1.0,0.95,0.95
