,test_task,train_task,Mean,Std
0,glass,mem,0.7470833333333334,0.10937684238811088
1,glass,motor,0.6872222222222222,0.14783296499062334
2,glass,semantic,0.7652777777777777,0.14270843229827027
3,mem,glass,0.6436805555555556,0.09941714509568794
4,mem,motor,0.60375,0.13695019949915066
5,mem,semantic,0.608125,0.12343122723663918
6,motor,glass,0.7177777777777777,0.13698214974018577
7,motor,mem,0.728125,0.09650823428969298
8,motor,semantic,0.6837500000000001,0.15254390468695522
9,semantic,glass,0.8036805555555556,0.12186887505524548
10,semantic,mem,0.745625,0.13425555322379992
11,semantic,motor,0.6325,0.1546424447371604
