,sub,task,acc,Network_A,Network_B
0,MSC01,semantic,0.8,unassign,unassign
1,MSC01,glass,0.85,unassign,unassign
2,MSC01,motor,0.75,unassign,unassign
3,MSC01,mem,0.85,unassign,unassign
4,MSC02,semantic,0.7,unassign,unassign
5,MSC02,glass,0.6,unassign,unassign
6,MSC02,motor,1.0,unassign,unassign
7,MSC02,mem,0.75,unassign,unassign
8,MSC03,semantic,0.75,unassign,unassign
9,MSC03,glass,0.6,unassign,unassign
10,MSC03,motor,0.9,unassign,unassign
11,MSC03,mem,0.6458333333333333,unassign,unassign
12,MSC04,semantic,0.9,unassign,unassign
13,MSC04,glass,0.8,unassign,unassign
14,MSC04,motor,1.0,unassign,unassign
15,MSC04,mem,0.85,unassign,unassign
16,MSC05,semantic,0.65,unassign,unassign
17,MSC05,glass,0.7,unassign,unassign
18,MSC05,motor,0.95,unassign,unassign
19,MSC05,mem,0.8,unassign,unassign
20,MSC06,semantic,0.65,unassign,unassign
21,MSC06,glass,0.6111111111111112,unassign,unassign
22,MSC06,motor,1.0,unassign,unassign
23,MSC06,mem,0.8,unassign,unassign
24,MSC07,semantic,0.75,unassign,unassign
25,MSC07,glass,0.7,unassign,unassign
26,MSC07,motor,0.7777777777777778,unassign,unassign
27,MSC07,mem,0.85,unassign,unassign
28,MSC10,semantic,0.7,unassign,unassign
29,MSC10,glass,0.7,unassign,unassign
30,MSC10,motor,0.65,unassign,unassign
31,MSC10,mem,0.9,unassign,unassign
0,MSC01,semantic,0.9,default,default
1,MSC01,glass,0.9,default,default
2,MSC01,motor,0.95,default,default
3,MSC01,mem,1.0,default,default
4,MSC02,semantic,0.9,default,default
5,MSC02,glass,0.85,default,default
6,MSC02,motor,0.95,default,default
7,MSC02,mem,1.0,default,default
8,MSC03,semantic,0.75,default,default
9,MSC03,glass,0.8,default,default
10,MSC03,motor,0.85,default,default
11,MSC03,mem,0.9375,default,default
12,MSC04,semantic,0.95,default,default
13,MSC04,glass,0.9,default,default
14,MSC04,motor,0.95,default,default
15,MSC04,mem,0.9,default,default
16,MSC05,semantic,0.9,default,default
17,MSC05,glass,0.95,default,default
18,MSC05,motor,0.95,default,default
19,MSC05,mem,1.0,default,default
20,MSC06,semantic,0.95,default,default
21,MSC06,glass,0.9444444444444444,default,default
22,MSC06,motor,1.0,default,default
23,MSC06,mem,0.95,default,default
24,MSC07,semantic,1.0,default,default
25,MSC07,glass,0.8,default,default
26,MSC07,motor,0.8333333333333334,default,default
27,MSC07,mem,0.95,default,default
28,MSC10,semantic,0.9,default,default
29,MSC10,glass,0.85,default,default
30,MSC10,motor,0.9,default,default
31,MSC10,mem,0.95,default,default
0,MSC01,semantic,0.9,visual,visual
1,MSC01,glass,0.95,visual,visual
2,MSC01,motor,0.95,visual,visual
3,MSC01,mem,1.0,visual,visual
4,MSC02,semantic,0.9,visual,visual
5,MSC02,glass,1.0,visual,visual
6,MSC02,motor,1.0,visual,visual
7,MSC02,mem,1.0,visual,visual
8,MSC03,semantic,0.95,visual,visual
9,MSC03,glass,0.85,visual,visual
10,MSC03,motor,1.0,visual,visual
11,MSC03,mem,1.0,visual,visual
12,MSC04,semantic,0.95,visual,visual
13,MSC04,glass,0.9,visual,visual
14,MSC04,motor,1.0,visual,visual
15,MSC04,mem,1.0,visual,visual
16,MSC05,semantic,0.85,visual,visual
17,MSC05,glass,0.95,visual,visual
18,MSC05,motor,0.95,visual,visual
19,MSC05,mem,1.0,visual,visual
20,MSC06,semantic,0.7,visual,visual
21,MSC06,glass,0.6296296296296295,visual,visual
22,MSC06,motor,1.0,visual,visual
23,MSC06,mem,1.0,visual,visual
24,MSC07,semantic,0.95,visual,visual
25,MSC07,glass,0.9,visual,visual
26,MSC07,motor,0.8888888888888888,visual,visual
27,MSC07,mem,0.95,visual,visual
28,MSC10,semantic,0.85,visual,visual
29,MSC10,glass,0.8,visual,visual
30,MSC10,motor,0.95,visual,visual
31,MSC10,mem,1.0,visual,visual
0,MSC01,semantic,0.95,fp,fp
1,MSC01,glass,0.85,fp,fp
2,MSC01,motor,0.95,fp,fp
3,MSC01,mem,0.9,fp,fp
4,MSC02,semantic,0.75,fp,fp
5,MSC02,glass,0.7,fp,fp
6,MSC02,motor,0.85,fp,fp
7,MSC02,mem,0.95,fp,fp
8,MSC03,semantic,0.85,fp,fp
9,MSC03,glass,0.85,fp,fp
10,MSC03,motor,0.9,fp,fp
11,MSC03,mem,0.8125,fp,fp
12,MSC04,semantic,1.0,fp,fp
13,MSC04,glass,0.95,fp,fp
14,MSC04,motor,0.9,fp,fp
15,MSC04,mem,0.85,fp,fp
16,MSC05,semantic,1.0,fp,fp
17,MSC05,glass,0.9,fp,fp
18,MSC05,motor,0.9,fp,fp
19,MSC05,mem,0.95,fp,fp
20,MSC06,semantic,1.0,fp,fp
21,MSC06,glass,1.0,fp,fp
22,MSC06,motor,0.9444444444444444,fp,fp
23,MSC06,mem,0.95,fp,fp
24,MSC07,semantic,1.0,fp,fp
25,MSC07,glass,0.8,fp,fp
26,MSC07,motor,0.8333333333333334,fp,fp
27,MSC07,mem,0.9,fp,fp
28,MSC10,semantic,0.9,fp,fp
29,MSC10,glass,0.8,fp,fp
30,MSC10,motor,0.95,fp,fp
31,MSC10,mem,0.95,fp,fp
0,MSC01,semantic,0.95,dan,dan
1,MSC01,glass,0.95,dan,dan
2,MSC01,motor,1.0,dan,dan
3,MSC01,mem,1.0,dan,dan
4,MSC02,semantic,1.0,dan,dan
5,MSC02,glass,0.9,dan,dan
6,MSC02,motor,0.95,dan,dan
7,MSC02,mem,1.0,dan,dan
8,MSC03,semantic,0.9,dan,dan
9,MSC03,glass,0.8,dan,dan
10,MSC03,motor,0.95,dan,dan
11,MSC03,mem,0.9375,dan,dan
12,MSC04,semantic,0.95,dan,dan
13,MSC04,glass,0.9,dan,dan
14,MSC04,motor,1.0,dan,dan
15,MSC04,mem,0.95,dan,dan
16,MSC05,semantic,1.0,dan,dan
17,MSC05,glass,0.95,dan,dan
18,MSC05,motor,0.95,dan,dan
19,MSC05,mem,1.0,dan,dan
20,MSC06,semantic,0.95,dan,dan
21,MSC06,glass,0.8888888888888888,dan,dan
22,MSC06,motor,0.8888888888888888,dan,dan
23,MSC06,mem,1.0,dan,dan
24,MSC07,semantic,1.0,dan,dan
25,MSC07,glass,0.85,dan,dan
26,MSC07,motor,0.8888888888888888,dan,dan
27,MSC07,mem,0.95,dan,dan
28,MSC10,semantic,0.9,dan,dan
29,MSC10,glass,0.85,dan,dan
30,MSC10,motor,0.95,dan,dan
31,MSC10,mem,0.95,dan,dan
0,MSC01,semantic,0.95,van,van
1,MSC01,glass,0.75,van,van
2,MSC01,motor,0.9,van,van
3,MSC01,mem,0.85,van,van
4,MSC02,semantic,1.0,van,van
5,MSC02,glass,0.65,van,van
6,MSC02,motor,0.95,van,van
7,MSC02,mem,1.0,van,van
8,MSC03,semantic,0.85,van,van
9,MSC03,glass,0.75,van,van
10,MSC03,motor,1.0,van,van
11,MSC03,mem,0.875,van,van
12,MSC04,semantic,0.95,van,van
13,MSC04,glass,1.0,van,van
14,MSC04,motor,0.95,van,van
15,MSC04,mem,0.9,van,van
16,MSC05,semantic,0.95,van,van
17,MSC05,glass,0.75,van,van
18,MSC05,motor,0.9,van,van
19,MSC05,mem,1.0,van,van
20,MSC06,semantic,0.8,van,van
21,MSC06,glass,0.8333333333333334,van,van
22,MSC06,motor,0.7777777777777778,van,van
23,MSC06,mem,0.95,van,van
24,MSC07,semantic,0.95,van,van
25,MSC07,glass,0.9,van,van
26,MSC07,motor,0.8888888888888888,van,van
27,MSC07,mem,0.9,van,van
28,MSC10,semantic,0.8,van,van
29,MSC10,glass,0.9,van,van
30,MSC10,motor,0.9,van,van
31,MSC10,mem,1.0,van,van
0,MSC01,semantic,0.7,salience,salience
1,MSC01,glass,0.6,salience,salience
2,MSC01,motor,0.55,salience,salience
3,MSC01,mem,0.5,salience,salience
4,MSC02,semantic,0.55,salience,salience
5,MSC02,glass,0.7,salience,salience
6,MSC02,motor,0.6,salience,salience
7,MSC02,mem,0.65,salience,salience
8,MSC03,semantic,0.7,salience,salience
9,MSC03,glass,0.75,salience,salience
10,MSC03,motor,0.75,salience,salience
11,MSC03,mem,0.7083333333333333,salience,salience
12,MSC04,semantic,0.7,salience,salience
13,MSC04,glass,0.85,salience,salience
14,MSC04,motor,0.65,salience,salience
15,MSC04,mem,0.55,salience,salience
16,MSC05,semantic,0.85,salience,salience
17,MSC05,glass,0.8,salience,salience
18,MSC05,motor,0.75,salience,salience
19,MSC05,mem,0.55,salience,salience
20,MSC06,semantic,0.7,salience,salience
21,MSC06,glass,0.6481481481481481,salience,salience
22,MSC06,motor,0.8888888888888888,salience,salience
23,MSC06,mem,0.6,salience,salience
24,MSC07,semantic,0.75,salience,salience
25,MSC07,glass,0.75,salience,salience
26,MSC07,motor,0.5925925925925926,salience,salience
27,MSC07,mem,0.85,salience,salience
28,MSC10,semantic,0.75,salience,salience
29,MSC10,glass,0.55,salience,salience
30,MSC10,motor,0.75,salience,salience
31,MSC10,mem,0.7,salience,salience
0,MSC01,semantic,1.0,co,co
1,MSC01,glass,0.8,co,co
2,MSC01,motor,1.0,co,co
3,MSC01,mem,0.95,co,co
4,MSC02,semantic,0.75,co,co
5,MSC02,glass,0.8,co,co
6,MSC02,motor,0.95,co,co
7,MSC02,mem,0.9,co,co
8,MSC03,semantic,0.85,co,co
9,MSC03,glass,0.9,co,co
10,MSC03,motor,1.0,co,co
11,MSC03,mem,0.8958333333333333,co,co
12,MSC04,semantic,0.9,co,co
13,MSC04,glass,0.85,co,co
14,MSC04,motor,0.95,co,co
15,MSC04,mem,0.9,co,co
16,MSC05,semantic,1.0,co,co
17,MSC05,glass,0.75,co,co
18,MSC05,motor,1.0,co,co
19,MSC05,mem,1.0,co,co
20,MSC06,semantic,0.85,co,co
21,MSC06,glass,0.7222222222222222,co,co
22,MSC06,motor,0.9444444444444444,co,co
23,MSC06,mem,0.85,co,co
24,MSC07,semantic,0.95,co,co
25,MSC07,glass,0.85,co,co
26,MSC07,motor,0.9444444444444444,co,co
27,MSC07,mem,0.85,co,co
28,MSC10,semantic,0.8,co,co
29,MSC10,glass,0.85,co,co
30,MSC10,motor,0.95,co,co
31,MSC10,mem,0.9,co,co
0,MSC01,semantic,0.9,sm,sm
1,MSC01,glass,0.95,sm,sm
2,MSC01,motor,0.9,sm,sm
3,MSC01,mem,0.95,sm,sm
4,MSC02,semantic,0.7,sm,sm
5,MSC02,glass,0.7,sm,sm
6,MSC02,motor,1.0,sm,sm
7,MSC02,mem,0.95,sm,sm
8,MSC03,semantic,0.85,sm,sm
9,MSC03,glass,0.75,sm,sm
10,MSC03,motor,1.0,sm,sm
11,MSC03,mem,0.75,sm,sm
12,MSC04,semantic,0.9,sm,sm
13,MSC04,glass,0.8,sm,sm
14,MSC04,motor,1.0,sm,sm
15,MSC04,mem,1.0,sm,sm
16,MSC05,semantic,0.8,sm,sm
17,MSC05,glass,0.9,sm,sm
18,MSC05,motor,1.0,sm,sm
19,MSC05,mem,1.0,sm,sm
20,MSC06,semantic,0.85,sm,sm
21,MSC06,glass,0.8888888888888888,sm,sm
22,MSC06,motor,0.8888888888888888,sm,sm
23,MSC06,mem,0.95,sm,sm
24,MSC07,semantic,0.9,sm,sm
25,MSC07,glass,0.95,sm,sm
26,MSC07,motor,0.9444444444444444,sm,sm
27,MSC07,mem,0.9,sm,sm
28,MSC10,semantic,0.8,sm,sm
29,MSC10,glass,0.8,sm,sm
30,MSC10,motor,0.95,sm,sm
31,MSC10,mem,1.0,sm,sm
0,MSC01,semantic,0.8,sm-lat,sm-lat
1,MSC01,glass,0.95,sm-lat,sm-lat
2,MSC01,motor,0.9,sm-lat,sm-lat
3,MSC01,mem,0.8,sm-lat,sm-lat
4,MSC02,semantic,0.85,sm-lat,sm-lat
5,MSC02,glass,0.7,sm-lat,sm-lat
6,MSC02,motor,1.0,sm-lat,sm-lat
7,MSC02,mem,0.95,sm-lat,sm-lat
8,MSC03,semantic,0.55,sm-lat,sm-lat
9,MSC03,glass,0.6,sm-lat,sm-lat
10,MSC03,motor,0.9,sm-lat,sm-lat
11,MSC03,mem,0.9375,sm-lat,sm-lat
12,MSC04,semantic,0.65,sm-lat,sm-lat
13,MSC04,glass,0.65,sm-lat,sm-lat
14,MSC04,motor,0.85,sm-lat,sm-lat
15,MSC04,mem,0.75,sm-lat,sm-lat
16,MSC05,semantic,0.8,sm-lat,sm-lat
17,MSC05,glass,0.7,sm-lat,sm-lat
18,MSC05,motor,0.95,sm-lat,sm-lat
19,MSC05,mem,0.75,sm-lat,sm-lat
20,MSC06,semantic,0.5,sm-lat,sm-lat
21,MSC06,glass,0.537037037037037,sm-lat,sm-lat
22,MSC06,motor,0.8888888888888888,sm-lat,sm-lat
23,MSC06,mem,0.8,sm-lat,sm-lat
24,MSC07,semantic,0.85,sm-lat,sm-lat
25,MSC07,glass,0.65,sm-lat,sm-lat
26,MSC07,motor,0.9444444444444444,sm-lat,sm-lat
27,MSC07,mem,0.75,sm-lat,sm-lat
28,MSC10,semantic,0.7,sm-lat,sm-lat
29,MSC10,glass,0.75,sm-lat,sm-lat
30,MSC10,motor,0.8,sm-lat,sm-lat
31,MSC10,mem,0.9,sm-lat,sm-lat
0,MSC01,semantic,1.0,auditory,auditory
1,MSC01,glass,0.9,auditory,auditory
2,MSC01,motor,0.9,auditory,auditory
3,MSC01,mem,0.95,auditory,auditory
4,MSC02,semantic,0.85,auditory,auditory
5,MSC02,glass,0.55,auditory,auditory
6,MSC02,motor,0.85,auditory,auditory
7,MSC02,mem,0.9,auditory,auditory
8,MSC03,semantic,0.65,auditory,auditory
9,MSC03,glass,0.75,auditory,auditory
10,MSC03,motor,0.75,auditory,auditory
11,MSC03,mem,0.6666666666666666,auditory,auditory
12,MSC04,semantic,0.85,auditory,auditory
13,MSC04,glass,0.7,auditory,auditory
14,MSC04,motor,0.85,auditory,auditory
15,MSC04,mem,0.7,auditory,auditory
16,MSC05,semantic,0.8,auditory,auditory
17,MSC05,glass,0.65,auditory,auditory
18,MSC05,motor,0.7,auditory,auditory
19,MSC05,mem,0.8,auditory,auditory
20,MSC06,semantic,0.85,auditory,auditory
21,MSC06,glass,0.574074074074074,auditory,auditory
22,MSC06,motor,0.7962962962962963,auditory,auditory
23,MSC06,mem,0.75,auditory,auditory
24,MSC07,semantic,0.85,auditory,auditory
25,MSC07,glass,0.9,auditory,auditory
26,MSC07,motor,0.8888888888888888,auditory,auditory
27,MSC07,mem,0.85,auditory,auditory
28,MSC10,semantic,0.65,auditory,auditory
29,MSC10,glass,0.75,auditory,auditory
30,MSC10,motor,0.9,auditory,auditory
31,MSC10,mem,0.8,auditory,auditory
0,MSC01,semantic,0.7,pmn,pmn
1,MSC01,glass,0.7,pmn,pmn
2,MSC01,motor,0.75,pmn,pmn
3,MSC01,mem,0.8,pmn,pmn
4,MSC02,semantic,0.7,pmn,pmn
5,MSC02,glass,0.65,pmn,pmn
6,MSC02,motor,0.9,pmn,pmn
7,MSC02,mem,0.6,pmn,pmn
8,MSC03,semantic,0.75,pmn,pmn
9,MSC03,glass,0.7,pmn,pmn
10,MSC03,motor,0.85,pmn,pmn
11,MSC03,mem,0.75,pmn,pmn
12,MSC04,semantic,0.95,pmn,pmn
13,MSC04,glass,0.9,pmn,pmn
14,MSC04,motor,0.85,pmn,pmn
15,MSC04,mem,0.85,pmn,pmn
16,MSC05,semantic,0.9,pmn,pmn
17,MSC05,glass,0.85,pmn,pmn
18,MSC05,motor,0.85,pmn,pmn
19,MSC05,mem,0.85,pmn,pmn
20,MSC06,semantic,0.85,pmn,pmn
