,sub,task,acc,Network_A,Network_B
21,MSC06,glass,0.8333333333333334,pmn,pmn
22,MSC06,motor,0.8888888888888888,pmn,pmn
23,MSC06,mem,0.7,pmn,pmn
24,MSC07,semantic,0.85,pmn,pmn
25,MSC07,glass,0.7,pmn,pmn
26,MSC07,motor,0.7222222222222222,pmn,pmn
27,MSC07,mem,0.7,pmn,pmn
28,MSC10,semantic,0.95,pmn,pmn
29,MSC10,glass,0.8,pmn,pmn
30,MSC10,motor,1.0,pmn,pmn
31,MSC10,mem,0.75,pmn,pmn
0,MSC01,semantic,0.75,pon,pon
1,MSC01,glass,0.85,pon,pon
2,MSC01,motor,0.9,pon,pon
3,MSC01,mem,0.8,pon,pon
4,MSC02,semantic,0.75,pon,pon
5,MSC02,glass,0.85,pon,pon
6,MSC02,motor,0.65,pon,pon
7,MSC02,mem,0.8,pon,pon
8,MSC03,semantic,0.75,pon,pon
9,MSC03,glass,0.8,pon,pon
10,MSC03,motor,0.75,pon,pon
11,MSC03,mem,0.7083333333333333,pon,pon
12,MSC04,semantic,0.95,pon,pon
13,MSC04,glass,0.85,pon,pon
14,MSC04,motor,0.8,pon,pon
15,MSC04,mem,0.65,pon,pon
16,MSC05,semantic,0.9,pon,pon
17,MSC05,glass,0.7,pon,pon
18,MSC05,motor,0.45,pon,pon
19,MSC05,mem,0.55,pon,pon
20,MSC06,semantic,0.7,pon,pon
21,MSC06,glass,0.7222222222222222,pon,pon
22,MSC06,motor,0.7777777777777778,pon,pon
23,MSC06,mem,0.75,pon,pon
24,MSC07,semantic,0.7,pon,pon
25,MSC07,glass,0.7,pon,pon
26,MSC07,motor,0.6666666666666666,pon,pon
27,MSC07,mem,0.4,pon,pon
28,MSC10,semantic,0.75,pon,pon
29,MSC10,glass,0.7,pon,pon
30,MSC10,motor,0.45,pon,pon
31,MSC10,mem,0.65,pon,pon
