,sub,task,acc,Network_A,Network_B
0,MSC01,semantic,0.85,unassign,default
1,MSC01,glass,0.9,unassign,default
2,MSC01,motor,0.95,unassign,default
3,MSC01,mem,0.95,unassign,default
4,MSC02,semantic,0.85,unassign,default
5,MSC02,glass,0.7,unassign,default
6,MSC02,motor,0.9,unassign,default
7,MSC02,mem,0.95,unassign,default
8,MSC03,semantic,0.85,unassign,default
9,MSC03,glass,0.75,unassign,default
10,MSC03,motor,0.95,unassign,default
11,MSC03,mem,0.7708333333333333,unassign,default
12,MSC04,semantic,0.95,unassign,default
13,MSC04,glass,0.95,unassign,default
14,MSC04,motor,0.95,unassign,default
15,MSC04,mem,1.0,unassign,default
16,MSC05,semantic,0.95,unassign,default
17,MSC05,glass,0.9,unassign,default
18,MSC05,motor,0.9,unassign,default
19,MSC05,mem,1.0,unassign,default
20,MSC06,semantic,0.9,unassign,default
21,MSC06,glass,0.7222222222222222,unassign,default
22,MSC06,motor,0.8888888888888888,unassign,default
23,MSC06,mem,0.95,unassign,default
24,MSC07,semantic,0.8,unassign,default
25,MSC07,glass,0.7,unassign,default
26,MSC07,motor,0.8333333333333334,unassign,default
27,MSC07,mem,0.9,unassign,default
28,MSC10,semantic,0.85,unassign,default
29,MSC10,glass,0.75,unassign,default
30,MSC10,motor,0.85,unassign,default
31,MSC10,mem,0.8,unassign,default
0,MSC01,semantic,0.85,unassign,visual
1,MSC01,glass,0.75,unassign,visual
2,MSC01,motor,0.9,unassign,visual
3,MSC01,mem,0.9,unassign,visual
4,MSC02,semantic,0.85,unassign,visual
5,MSC02,glass,0.75,unassign,visual
6,MSC02,motor,0.8,unassign,visual
7,MSC02,mem,1.0,unassign,visual
8,MSC03,semantic,0.7,unassign,visual
9,MSC03,glass,0.75,unassign,visual
10,MSC03,motor,0.85,unassign,visual
11,MSC03,mem,0.9375,unassign,visual
12,MSC04,semantic,0.75,unassign,visual
13,MSC04,glass,0.8,unassign,visual
14,MSC04,motor,0.85,unassign,visual
15,MSC04,mem,0.9,unassign,visual
16,MSC05,semantic,0.75,unassign,visual
17,MSC05,glass,0.75,unassign,visual
18,MSC05,motor,0.95,unassign,visual
19,MSC05,mem,0.95,unassign,visual
20,MSC06,semantic,0.65,unassign,visual
21,MSC06,glass,0.6296296296296295,unassign,visual
22,MSC06,motor,0.9074074074074073,unassign,visual
23,MSC06,mem,0.9,unassign,visual
24,MSC07,semantic,0.9,unassign,visual
25,MSC07,glass,0.8,unassign,visual
26,MSC07,motor,0.8333333333333334,unassign,visual
