,MSC10,train,test
0,0.85,glass,mem
1,0.8,glass,mem
2,0.8,glass,mem
3,0.8,glass,mem
4,0.75,glass,mem
5,0.8,glass,mem
6,0.8,glass,mem
7,0.9,glass,mem
8,0.85,glass,mem
9,0.9,glass,mem
