,MSC10,train,test
0,0.7,semantic,motor
1,0.7,semantic,motor
2,0.7,semantic,motor
3,0.65,semantic,motor
4,0.7,semantic,motor
5,0.7,semantic,motor
6,0.7,semantic,motor
7,0.7,semantic,motor
8,0.7,semantic,motor
9,0.65,semantic,motor
