,MSC10,train,test
0,0.65,motor,glass
1,0.6,motor,glass
2,0.65,motor,glass
3,0.55,motor,glass
4,0.6,motor,glass
5,0.6,motor,glass
6,0.6,motor,glass
7,0.65,motor,glass
8,0.6,motor,glass
9,0.6,motor,glass
