Network,Acc,Features,z_score
unassign,0.60437748015873,14808,-0.4682023508626661
default,0.7456845238095239,10824,0.42843068044745647
visual,0.7160515873015874,8736,0.24040134375428687
fp,0.6883358134920635,4620,0.06453694489705798
dan,0.6958953373015874,5264,0.1125042547598621
van,0.6167683531746031,3151,-0.3895787681610359
salience,0.6572048611111112,484,-0.1329977248529134
co,0.6801140873015873,4060,0.012367774229342904
sm,0.6378596230158731,2375,-0.2557487146593015
sm-lat,0.6075421626984127,316,-0.4481215479148514
auditory,0.5780778769841269,564,-0.6350807477738114
pmn,0.5567410714285714,45,-0.7704687946077027
pon,0.5649479166666668,21,-0.7183940477782998
