,train_sub,test_sub,task,acc,Features
118,MSC05,MSC02,motor,0.7350000000000001,10
119,MSC05,MSC02,mem,0.505,10
120,MSC05,MSC03,glass,0.675,10
121,MSC05,MSC03,semantic,0.7899999999999999,10
122,MSC05,MSC03,motor,0.63,10
123,MSC05,MSC03,mem,0.62,10
124,MSC05,MSC04,glass,0.565,10
125,MSC05,MSC04,semantic,0.5799999999999998,10
126,MSC05,MSC04,motor,0.5549999999999999,10
127,MSC05,MSC04,mem,0.525,10
128,MSC05,MSC06,glass,0.7166666666666667,10
129,MSC05,MSC06,semantic,0.7000000000000001,10
130,MSC05,MSC06,motor,0.5999999999999999,10
131,MSC05,MSC06,mem,0.8299999999999998,10
132,MSC05,MSC07,glass,0.55,10
133,MSC05,MSC07,semantic,0.435,10
134,MSC05,MSC07,motor,0.6049999999999999,10
135,MSC05,MSC07,mem,0.255,10
136,MSC05,MSC10,glass,0.5,10
137,MSC05,MSC10,semantic,0.5199999999999999,10
138,MSC05,MSC10,motor,0.5,10
139,MSC05,MSC10,mem,0.5,10
140,MSC06,MSC01,glass,0.5444444444444445,10
141,MSC06,MSC01,semantic,0.7599999999999999,10
142,MSC06,MSC01,motor,0.6850000000000002,10
143,MSC06,MSC01,mem,0.5299999999999999,10
144,MSC06,MSC02,glass,0.6333333333333334,10
145,MSC06,MSC02,semantic,0.7050000000000001,10
146,MSC06,MSC02,motor,0.35,10
147,MSC06,MSC02,mem,0.53,10
148,MSC06,MSC03,glass,0.4666666666666668,10
149,MSC06,MSC03,semantic,0.5850000000000001,10
150,MSC06,MSC03,motor,0.395,10
151,MSC06,MSC03,mem,0.6500000000000001,10
152,MSC06,MSC04,glass,0.5333333333333333,10
153,MSC06,MSC04,semantic,0.5649999999999998,10
154,MSC06,MSC04,motor,0.7,10
155,MSC06,MSC04,mem,0.5,10
156,MSC06,MSC05,glass,0.8388888888888888,10
157,MSC06,MSC05,semantic,0.57,10
158,MSC06,MSC05,motor,0.4550000000000001,10
159,MSC06,MSC05,mem,0.75,10
160,MSC06,MSC07,glass,0.7055555555555555,10
161,MSC06,MSC07,semantic,0.585,10
162,MSC06,MSC07,motor,0.52,10
163,MSC06,MSC07,mem,0.34,10
164,MSC06,MSC10,glass,0.4444444444444445,10
165,MSC06,MSC10,semantic,0.4800000000000001,10
166,MSC06,MSC10,motor,0.5149999999999999,10
167,MSC06,MSC10,mem,0.51,10
168,MSC07,MSC01,glass,0.55,10
169,MSC07,MSC01,semantic,0.5399999999999999,10
170,MSC07,MSC01,motor,0.5650000000000001,10
171,MSC07,MSC01,mem,0.4300000000000001,10
172,MSC07,MSC02,glass,0.58,10
173,MSC07,MSC02,semantic,0.6400000000000001,10
174,MSC07,MSC02,motor,0.395,10
175,MSC07,MSC02,mem,0.4149999999999999,10
176,MSC07,MSC03,glass,0.3,10
177,MSC07,MSC03,semantic,0.375,10
178,MSC07,MSC03,motor,0.495,10
179,MSC07,MSC03,mem,0.31999999999999995,10
180,MSC07,MSC04,glass,0.5,10
181,MSC07,MSC04,semantic,0.5599999999999999,10
182,MSC07,MSC04,motor,0.64,10
183,MSC07,MSC04,mem,0.595,10
184,MSC07,MSC05,glass,0.485,10
185,MSC07,MSC05,semantic,0.505,10
186,MSC07,MSC05,motor,0.5399999999999999,10
187,MSC07,MSC05,mem,0.275,10
188,MSC07,MSC06,glass,0.7055555555555556,10
189,MSC07,MSC06,semantic,0.6199999999999999,10
190,MSC07,MSC06,motor,0.54,10
191,MSC07,MSC06,mem,0.37,10
192,MSC07,MSC10,glass,0.395,10
193,MSC07,MSC10,semantic,0.5700000000000001,10
194,MSC07,MSC10,motor,0.68,10
195,MSC07,MSC10,mem,0.435,10
196,MSC10,MSC01,glass,0.485,10
197,MSC10,MSC01,semantic,0.485,10
198,MSC10,MSC01,motor,0.445,10
199,MSC10,MSC01,mem,0.4550000000000001,10
200,MSC10,MSC02,glass,0.6749999999999999,10
201,MSC10,MSC02,semantic,0.5,10
202,MSC10,MSC02,motor,0.59,10
203,MSC10,MSC02,mem,0.51,10
204,MSC10,MSC03,glass,0.63,10
205,MSC10,MSC03,semantic,0.485,10
206,MSC10,MSC03,motor,0.6449999999999999,10
207,MSC10,MSC03,mem,0.65,10
208,MSC10,MSC04,glass,0.5,10
209,MSC10,MSC04,semantic,0.595,10
210,MSC10,MSC04,motor,0.4350000000000001,10
211,MSC10,MSC04,mem,0.55,10
212,MSC10,MSC05,glass,0.5050000000000001,10
213,MSC10,MSC05,semantic,0.5,10
214,MSC10,MSC05,motor,0.6,10
215,MSC10,MSC05,mem,0.5349999999999999,10
216,MSC10,MSC06,glass,0.5333333333333334,10
217,MSC10,MSC06,semantic,0.525,10
218,MSC10,MSC06,motor,0.5850000000000001,10
219,MSC10,MSC06,mem,0.53,10
220,MSC10,MSC07,glass,0.48,10
221,MSC10,MSC07,semantic,0.505,10
222,MSC10,MSC07,motor,0.605,10
223,MSC10,MSC07,mem,0.485,10
0,MSC01,MSC02,glass,0.34,20
1,MSC01,MSC02,semantic,0.525,20
2,MSC01,MSC02,motor,0.595,20
3,MSC01,MSC02,mem,0.465,20
4,MSC01,MSC03,glass,0.345,20
5,MSC01,MSC03,semantic,0.475,20
6,MSC01,MSC03,motor,0.55,20
7,MSC01,MSC03,mem,0.64,20
8,MSC01,MSC04,glass,0.4199999999999999,20
9,MSC01,MSC04,semantic,0.5700000000000001,20
10,MSC01,MSC04,motor,0.59,20
11,MSC01,MSC04,mem,0.5050000000000001,20
12,MSC01,MSC05,glass,0.505,20
13,MSC01,MSC05,semantic,0.52,20
14,MSC01,MSC05,motor,0.5199999999999999,20
15,MSC01,MSC05,mem,0.51,20
16,MSC01,MSC06,glass,0.6055555555555555,20
17,MSC01,MSC06,semantic,0.5900000000000001,20
18,MSC01,MSC06,motor,0.7350000000000001,20
19,MSC01,MSC06,mem,0.6149999999999999,20
20,MSC01,MSC07,glass,0.485,20
21,MSC01,MSC07,semantic,0.505,20
22,MSC01,MSC07,motor,0.5,20
23,MSC01,MSC07,mem,0.6650000000000001,20
24,MSC01,MSC10,glass,0.615,20
25,MSC01,MSC10,semantic,0.59,20
26,MSC01,MSC10,motor,0.61,20
27,MSC01,MSC10,mem,0.8,20
28,MSC02,MSC01,glass,0.37,20
29,MSC02,MSC01,semantic,0.43,20
30,MSC02,MSC01,motor,0.53,20
31,MSC02,MSC01,mem,0.5,20
32,MSC02,MSC03,glass,0.4750000000000001,20
33,MSC02,MSC03,semantic,0.6950000000000001,20
34,MSC02,MSC03,motor,0.5449999999999999,20
35,MSC02,MSC03,mem,0.505,20
36,MSC02,MSC04,glass,0.66,20
37,MSC02,MSC04,semantic,0.6599999999999999,20
38,MSC02,MSC04,motor,0.525,20
39,MSC02,MSC04,mem,0.85,20
40,MSC02,MSC05,glass,0.7649999999999999,20
41,MSC02,MSC05,semantic,0.7500000000000001,20
42,MSC02,MSC05,motor,0.57,20
43,MSC02,MSC05,mem,0.5,20
44,MSC02,MSC06,glass,0.6055555555555556,20
45,MSC02,MSC06,semantic,0.575,20
46,MSC02,MSC06,motor,0.515,20
47,MSC02,MSC06,mem,0.5,20
48,MSC02,MSC07,glass,0.615,20
49,MSC02,MSC07,semantic,0.635,20
50,MSC02,MSC07,motor,0.5449999999999999,20
51,MSC02,MSC07,mem,0.485,20
52,MSC02,MSC10,glass,0.5549999999999999,20
53,MSC02,MSC10,semantic,0.545,20
54,MSC02,MSC10,motor,0.505,20
55,MSC02,MSC10,mem,0.5,20
56,MSC03,MSC01,glass,0.4350000000000001,20
57,MSC03,MSC01,semantic,0.505,20
58,MSC03,MSC01,motor,0.485,20
59,MSC03,MSC01,mem,0.505,20
60,MSC03,MSC02,glass,0.545,20
61,MSC03,MSC02,semantic,0.605,20
62,MSC03,MSC02,motor,0.7949999999999999,20
63,MSC03,MSC02,mem,0.595,20
64,MSC03,MSC04,glass,0.4800000000000001,20
65,MSC03,MSC04,semantic,0.655,20
66,MSC03,MSC04,motor,0.8149999999999998,20
67,MSC03,MSC04,mem,0.5,20
