train_task,test_task,sub,acc,accR,acc_diff
mixed,motor,MSC01,0.995,0.7342857142857142,0.2607142857142858
mixed,mem,MSC01,0.935,0.7528571428571429,0.18214285714285716
motor,mixed,MSC01,0.8149999999999998,0.7071428571428572,0.10785714285714265
motor,mem,MSC01,0.6500000000000001,0.7271428571428571,-0.07714285714285696
mem,mixed,MSC01,0.945,0.7728571428571429,0.17214285714285704
mem,motor,MSC01,1.0,0.8021428571428573,0.19785714285714273
mixed,motor,MSC02,0.75,0.6485714285714287,0.10142857142857131
mixed,mem,MSC02,0.8299999999999998,0.5907142857142856,0.2392857142857142
motor,mixed,MSC02,0.5,0.5,0.0
motor,mem,MSC02,0.5,0.5,0.0
mem,mixed,MSC02,0.7300000000000001,0.9007142857142858,-0.1707142857142857
mem,motor,MSC02,0.63,0.9235714285714287,-0.2935714285714287
mixed,motor,MSC03,1.0,0.6828571428571427,0.3171428571428573
mixed,mem,MSC03,0.8049999999999999,0.595,0.20999999999999996
motor,mixed,MSC03,0.5449999999999999,0.5042857142857142,0.0407142857142857
motor,mem,MSC03,0.5849999999999999,0.5707142857142857,0.014285714285714124
mem,mixed,MSC03,0.6350000000000001,0.7114285714285714,-0.07642857142857129
mem,motor,MSC03,0.8750000000000002,0.7664285714285713,0.10857142857142887
mixed,motor,MSC04,0.95,0.8092857142857142,0.1407142857142858
mixed,mem,MSC04,0.9600000000000002,0.835,0.12500000000000022
motor,mixed,MSC04,0.5849999999999999,0.6450000000000001,-0.060000000000000275
motor,mem,MSC04,0.6549999999999999,0.7085714285714285,-0.0535714285714286
mem,mixed,MSC04,0.915,0.7742857142857142,0.1407142857142858
mem,motor,MSC04,0.8999999999999998,0.8150000000000001,0.08499999999999974
mixed,motor,MSC05,0.965,0.8257142857142857,0.13928571428571423
mixed,mem,MSC05,1.0,0.7992857142857143,0.20071428571428573
motor,mixed,MSC05,0.5599999999999998,0.5214285714285715,0.03857142857142837
motor,mem,MSC05,0.7899999999999999,0.5042857142857142,0.2857142857142857
mem,mixed,MSC05,0.8449999999999998,0.8250000000000001,0.019999999999999685
mem,motor,MSC05,1.0,0.8921428571428571,0.10785714285714287
mixed,motor,MSC06,0.915,0.6657142857142857,0.24928571428571433
mixed,mem,MSC06,1.0,0.6828571428571429,0.31714285714285706
motor,mixed,MSC06,0.5999999999999999,0.6335714285714287,-0.03357142857142881
motor,mem,MSC06,0.745,0.6699999999999999,0.07500000000000007
mem,mixed,MSC06,0.755,0.7992857142857144,-0.04428571428571437
mem,motor,MSC06,0.91,0.7949999999999999,0.1150000000000001
mixed,motor,MSC07,0.8299999999999998,0.6114285714285713,0.21857142857142853
mixed,mem,MSC07,0.9000000000000001,0.6842857142857142,0.21571428571428597
motor,mixed,MSC07,0.5499999999999999,0.6385714285714287,-0.08857142857142875
motor,mem,MSC07,0.5,0.6678571428571428,-0.16785714285714282
mem,mixed,MSC07,0.885,0.7528571428571429,0.13214285714285712
mem,motor,MSC07,0.7849999999999999,0.7571428571428572,0.02785714285714269
mixed,motor,MSC10,0.905,0.6571428571428571,0.2478571428571429
mixed,mem,MSC10,0.965,0.7507142857142857,0.2142857142857143
motor,mixed,MSC10,0.505,0.5428571428571428,-0.03785714285714281
motor,mem,MSC10,0.635,0.6128571428571429,0.02214285714285713
mem,mixed,MSC10,0.8150000000000001,0.7328571428571429,0.08214285714285718
mem,motor,MSC10,0.91,0.8171428571428571,0.09285714285714297
