sub,task,acc,accR,acc_diff
MSC01,mixed,0.95,0.7321428571428571,0.21785714285714286
MSC02,mixed,0.9,0.6778571428571428,0.2221428571428572
MSC03,mixed,1.0,0.5864285714285714,0.4135714285714286
MSC04,mixed,1.0,0.8228571428571427,0.17714285714285727
MSC05,mixed,1.0,0.7985714285714284,0.20142857142857162
MSC06,mixed,1.0,0.6685714285714285,0.3314285714285715
MSC07,mixed,1.0,0.6557142857142857,0.3442857142857143
MSC10,mixed,0.95,0.6849999999999999,0.265
MSC01,motor,1.0,0.92,0.07999999999999996
MSC02,motor,0.95,0.5657142857142857,0.38428571428571423
MSC03,motor,0.95,0.8342857142857144,0.11571428571428555
MSC04,motor,1.0,0.9657142857142855,0.034285714285714475
MSC05,motor,1.0,0.7514285714285714,0.24857142857142855
MSC06,motor,1.0,0.6950000000000002,0.3049999999999998
MSC07,motor,1.0,0.6964285714285714,0.3035714285714286
MSC10,motor,0.95,0.8785714285714284,0.07142857142857151
MSC01,mem,1.0,0.8807142857142859,0.1192857142857141
MSC02,mem,1.0,0.9349999999999999,0.06500000000000006
MSC03,mem,1.0,0.7928571428571428,0.20714285714285718
MSC04,mem,1.0,0.925,0.07499999999999996
MSC05,mem,1.0,0.8964285714285716,0.10357142857142843
MSC06,mem,1.0,0.9471428571428572,0.052857142857142825
MSC07,mem,1.0,0.9035714285714287,0.09642857142857131
MSC10,mem,0.95,0.8742857142857143,0.07571428571428562
