train_task,test_task,train_sub,test_sub,acc,spec,sen
glass,semantic,MSC01,MSC02,0.645,0.3,0.99
glass,motor,MSC01,MSC02,0.57,0.3,0.8400000000000001
glass,mem,MSC01,MSC02,0.5999999999999999,0.3,0.9000000000000001
semantic,glass,MSC01,MSC02,0.6700000000000002,0.3499999999999999,0.99
semantic,motor,MSC01,MSC02,0.5399999999999999,0.3499999999999999,0.73
semantic,mem,MSC01,MSC02,0.6199999999999999,0.3499999999999999,0.8900000000000002
motor,glass,MSC01,MSC02,0.655,0.30999999999999994,1.0
motor,semantic,MSC01,MSC02,0.655,0.30999999999999994,1.0
motor,mem,MSC01,MSC02,0.605,0.30999999999999994,0.9000000000000001
mem,glass,MSC01,MSC02,0.7000000000000001,0.67,0.73
mem,semantic,MSC01,MSC02,0.685,0.67,0.7
mem,motor,MSC01,MSC02,0.6,0.67,0.53
glass,semantic,MSC01,MSC03,0.495,0.09,0.9000000000000001
glass,motor,MSC01,MSC03,0.5449999999999999,0.09,1.0
glass,mem,MSC01,MSC03,0.55625,0.1125,1.0
semantic,glass,MSC01,MSC03,0.495,0.06999999999999999,0.9200000000000002
semantic,motor,MSC01,MSC03,0.5349999999999999,0.06999999999999999,1.0
semantic,mem,MSC01,MSC03,0.54375,0.0875,1.0
motor,glass,MSC01,MSC03,0.52,0.09999999999999999,0.9400000000000001
motor,semantic,MSC01,MSC03,0.5,0.09999999999999999,0.9000000000000001
motor,mem,MSC01,MSC03,0.5625,0.125,1.0
mem,glass,MSC01,MSC03,0.625,0.39,0.8600000000000001
mem,semantic,MSC01,MSC03,0.5599999999999999,0.39,0.7300000000000001
mem,motor,MSC01,MSC03,0.655,0.39,0.9199999999999999
glass,semantic,MSC01,MSC04,0.5449999999999999,0.09,1.0
glass,motor,MSC01,MSC04,0.5349999999999999,0.09,0.9800000000000001
glass,mem,MSC01,MSC04,0.51,0.09,0.93
semantic,glass,MSC01,MSC04,0.685,0.37999999999999995,0.99
semantic,motor,MSC01,MSC04,0.615,0.37999999999999995,0.8500000000000002
semantic,mem,MSC01,MSC04,0.64,0.37999999999999995,0.9000000000000001
motor,glass,MSC01,MSC04,0.6350000000000001,0.2699999999999999,1.0
motor,semantic,MSC01,MSC04,0.62,0.2699999999999999,0.9700000000000001
motor,mem,MSC01,MSC04,0.6300000000000001,0.2699999999999999,0.99
mem,glass,MSC01,MSC04,0.735,0.5499999999999999,0.9200000000000002
mem,semantic,MSC01,MSC04,0.67,0.5499999999999999,0.7899999999999999
mem,motor,MSC01,MSC04,0.595,0.5499999999999999,0.64
glass,semantic,MSC01,MSC05,0.635,0.3,0.97
glass,motor,MSC01,MSC05,0.595,0.3,0.89
glass,mem,MSC01,MSC05,0.5799999999999998,0.3,0.8600000000000001
semantic,glass,MSC01,MSC05,0.6950000000000001,0.5599999999999999,0.8300000000000001
semantic,motor,MSC01,MSC05,0.66,0.5599999999999999,0.7599999999999999
semantic,mem,MSC01,MSC05,0.63,0.5599999999999999,0.7
motor,glass,MSC01,MSC05,0.67,0.48,0.8600000000000001
motor,semantic,MSC01,MSC05,0.715,0.48,0.95
motor,mem,MSC01,MSC05,0.6,0.48,0.7200000000000001
mem,glass,MSC01,MSC05,0.49000000000000005,0.8800000000000001,0.09999999999999999
mem,semantic,MSC01,MSC05,0.67,0.8800000000000001,0.45999999999999996
mem,motor,MSC01,MSC05,0.615,0.8800000000000001,0.35
glass,semantic,MSC01,MSC06,0.6050000000000001,0.22000000000000003,0.99
glass,motor,MSC01,MSC06,0.5055555555555556,0.13333333333333336,0.8777777777777779
glass,mem,MSC01,MSC06,0.55,0.22000000000000003,0.8800000000000001
semantic,glass,MSC01,MSC06,0.5611111111111111,0.4,0.7222222222222222
semantic,motor,MSC01,MSC06,0.4944444444444446,0.4,0.5888888888888888
semantic,mem,MSC01,MSC06,0.585,0.4600000000000001,0.71
motor,glass,MSC01,MSC06,0.5388888888888888,0.31111111111111117,0.7666666666666666
motor,semantic,MSC01,MSC06,0.62,0.37999999999999995,0.8600000000000001
motor,mem,MSC01,MSC06,0.5399999999999999,0.37999999999999995,0.7
mem,glass,MSC01,MSC06,0.4444444444444445,0.5666666666666667,0.3222222222222223
mem,semantic,MSC01,MSC06,0.465,0.61,0.31999999999999995
mem,motor,MSC01,MSC06,0.5111111111111112,0.5666666666666667,0.45555555555555544
glass,semantic,MSC01,MSC07,0.5399999999999999,0.07999999999999999,1.0
glass,motor,MSC01,MSC07,0.5,0.0,1.0
glass,mem,MSC01,MSC07,0.5399999999999999,0.07999999999999999,1.0
semantic,glass,MSC01,MSC07,0.565,0.13,1.0
semantic,motor,MSC01,MSC07,0.5111111111111111,0.03333333333333333,0.9888888888888889
semantic,mem,MSC01,MSC07,0.565,0.13,1.0
motor,glass,MSC01,MSC07,0.565,0.13000000000000003,1.0
motor,semantic,MSC01,MSC07,0.565,0.13000000000000003,1.0
motor,mem,MSC01,MSC07,0.565,0.13000000000000003,1.0
mem,glass,MSC01,MSC07,0.6950000000000001,0.39,1.0
mem,semantic,MSC01,MSC07,0.675,0.39,0.9600000000000002
mem,motor,MSC01,MSC07,0.6333333333333333,0.32222222222222224,0.9444444444444446
glass,semantic,MSC01,MSC10,0.5499999999999999,0.09999999999999999,1.0
glass,motor,MSC01,MSC10,0.5499999999999999,0.09999999999999999,1.0
glass,mem,MSC01,MSC10,0.5299999999999999,0.09999999999999999,0.96
semantic,glass,MSC01,MSC10,0.57,0.15000000000000002,0.99
semantic,motor,MSC01,MSC10,0.5449999999999999,0.15000000000000002,0.9400000000000001
semantic,mem,MSC01,MSC10,0.52,0.15000000000000002,0.8900000000000002
motor,glass,MSC01,MSC10,0.5549999999999999,0.10999999999999999,1.0
motor,semantic,MSC01,MSC10,0.5499999999999999,0.10999999999999999,0.99
motor,mem,MSC01,MSC10,0.51,0.10999999999999999,0.9100000000000001
mem,glass,MSC01,MSC10,0.675,0.59,0.76
mem,semantic,MSC01,MSC10,0.655,0.59,0.7200000000000001
mem,motor,MSC01,MSC10,0.62,0.59,0.6499999999999999
glass,semantic,MSC02,MSC01,0.6,0.2,1.0
glass,motor,MSC02,MSC01,0.595,0.2,0.99
glass,mem,MSC02,MSC01,0.6,0.2,1.0
semantic,glass,MSC02,MSC01,0.82,0.8500000000000002,0.79
semantic,motor,MSC02,MSC01,0.8349999999999997,0.8500000000000002,0.82
semantic,mem,MSC02,MSC01,0.7649999999999999,0.8500000000000002,0.6799999999999999
motor,glass,MSC02,MSC01,0.6199999999999999,0.7700000000000001,0.47000000000000003
motor,semantic,MSC02,MSC01,0.625,0.7700000000000001,0.4800000000000001
motor,mem,MSC02,MSC01,0.64,0.7700000000000001,0.51
mem,glass,MSC02,MSC01,0.69,0.8700000000000001,0.5099999999999999
mem,semantic,MSC02,MSC01,0.69,0.8700000000000001,0.51
mem,motor,MSC02,MSC01,0.6799999999999999,0.8700000000000001,0.49000000000000005
glass,semantic,MSC02,MSC03,0.465,0.030000000000000006,0.9000000000000001
glass,motor,MSC02,MSC03,0.505,0.030000000000000006,0.9800000000000001
glass,mem,MSC02,MSC03,0.5,0.0375,0.9625
semantic,glass,MSC02,MSC03,0.7300000000000001,0.68,0.7800000000000001
semantic,motor,MSC02,MSC03,0.635,0.68,0.5900000000000001
semantic,mem,MSC02,MSC03,0.54375,0.725,0.3625
motor,glass,MSC02,MSC03,0.6450000000000001,0.64,0.65
motor,semantic,MSC02,MSC03,0.615,0.64,0.5900000000000001
motor,mem,MSC02,MSC03,0.65,0.725,0.575
mem,glass,MSC02,MSC03,0.45999999999999996,0.71,0.21000000000000002
mem,semantic,MSC02,MSC03,0.6849999999999999,0.71,0.6600000000000001
mem,motor,MSC02,MSC03,0.62,0.71,0.53
glass,semantic,MSC02,MSC04,0.6749999999999999,0.35000000000000003,1.0
glass,motor,MSC02,MSC04,0.6150000000000001,0.35000000000000003,0.8800000000000001
glass,mem,MSC02,MSC04,0.6100000000000001,0.35000000000000003,0.8700000000000001
semantic,glass,MSC02,MSC04,0.8550000000000001,0.93,0.78
semantic,motor,MSC02,MSC04,0.6900000000000001,0.93,0.45
semantic,mem,MSC02,MSC04,0.6100000000000001,0.93,0.29000000000000004
motor,glass,MSC02,MSC04,0.835,0.8800000000000001,0.79
motor,semantic,MSC02,MSC04,0.695,0.8800000000000001,0.51
motor,mem,MSC02,MSC04,0.755,0.8800000000000001,0.63
mem,glass,MSC02,MSC04,0.7649999999999999,0.79,0.74
mem,semantic,MSC02,MSC04,0.7849999999999999,0.79,0.78
mem,motor,MSC02,MSC04,0.615,0.79,0.44000000000000006
glass,semantic,MSC02,MSC05,0.6050000000000002,0.21000000000000002,1.0
glass,motor,MSC02,MSC05,0.6050000000000002,0.21000000000000002,1.0
glass,mem,MSC02,MSC05,0.6050000000000002,0.21000000000000002,1.0
semantic,glass,MSC02,MSC05,0.575,0.74,0.40999999999999986
semantic,motor,MSC02,MSC05,0.7,0.74,0.6599999999999999
semantic,mem,MSC02,MSC05,0.7449999999999999,0.74,0.75
motor,glass,MSC02,MSC05,0.6850000000000002,0.8699999999999999,0.5
motor,semantic,MSC02,MSC05,0.74,0.8699999999999999,0.61
motor,mem,MSC02,MSC05,0.7749999999999999,0.8699999999999999,0.6799999999999999
mem,glass,MSC02,MSC05,0.5800000000000001,0.9,0.26
mem,semantic,MSC02,MSC05,0.6800000000000002,0.9,0.45999999999999996
mem,motor,MSC02,MSC05,0.6950000000000001,0.9,0.48999999999999994
glass,semantic,MSC02,MSC06,0.67,0.34,1.0
glass,motor,MSC02,MSC06,0.6055555555555555,0.36666666666666664,0.8444444444444444
glass,mem,MSC02,MSC06,0.67,0.34,1.0
semantic,glass,MSC02,MSC06,0.7999999999999999,0.8444444444444447,0.7555555555555555
semantic,motor,MSC02,MSC06,0.6722222222222223,0.8444444444444447,0.5000000000000001
semantic,mem,MSC02,MSC06,0.7999999999999999,0.8600000000000001,0.7400000000000001
motor,glass,MSC02,MSC06,0.6166666666666667,0.9333333333333333,0.3
motor,semantic,MSC02,MSC06,0.6549999999999999,0.9400000000000001,0.37
motor,mem,MSC02,MSC06,0.715,0.9400000000000001,0.49000000000000005
