sub,mixed,motor,mem
MSC01,0.9,1.0,1.0
MSC02,0.95,0.95,0.9
MSC03,1.0,0.9,0.75
MSC04,0.95,0.9,1.0
MSC05,0.95,1.0,1.0
MSC06,0.8,0.95,1.0
MSC07,0.9,0.9,0.95
MSC10,0.9,0.95,0.9
