,acc,train,test,train_task,test_task
0,0.5,MSC03,MSC02,mixed,mem
1,0.5,MSC03,MSC02,mixed,mem
2,0.5,MSC03,MSC02,mixed,mem
3,0.5,MSC03,MSC02,mixed,mem
4,0.65,MSC03,MSC02,mixed,mem
5,0.8,MSC03,MSC02,mixed,mem
6,0.95,MSC03,MSC02,mixed,mem
7,0.5,MSC03,MSC02,mixed,mem
8,0.5,MSC03,MSC02,mixed,mem
9,0.65,MSC03,MSC02,mixed,mem
