acc,train,test,train_task,test_task
0.5,MSC10,MSC01,mixed,mem
0.5,MSC10,MSC01,mixed,mem
0.5,MSC10,MSC01,mixed,mem
0.5,MSC10,MSC01,mixed,mem
0.5,MSC10,MSC01,mixed,mem
0.5,MSC10,MSC01,mixed,mem
0.5,MSC10,MSC01,mixed,mem
0.5,MSC10,MSC01,mixed,mem
0.5,MSC10,MSC01,mixed,mem
0.5,MSC10,MSC01,mixed,mem
0.5,MSC10,MSC01,mixed,motor
0.5,MSC10,MSC01,mixed,motor
0.5,MSC10,MSC01,mixed,motor
0.5,MSC10,MSC01,mixed,motor
0.5,MSC10,MSC01,mixed,motor
0.5,MSC10,MSC01,mixed,motor
0.5,MSC10,MSC01,mixed,motor
0.5,MSC10,MSC01,mixed,motor
0.5,MSC10,MSC01,mixed,motor
0.5,MSC10,MSC01,mixed,motor
0.95,MSC10,MSC01,mem,mixed
0.8,MSC10,MSC01,mem,mixed
0.75,MSC10,MSC01,mem,mixed
0.85,MSC10,MSC01,mem,mixed
0.65,MSC10,MSC01,mem,mixed
0.7,MSC10,MSC01,mem,mixed
0.9,MSC10,MSC01,mem,mixed
0.9,MSC10,MSC01,mem,mixed
0.8,MSC10,MSC01,mem,mixed
0.9,MSC10,MSC01,mem,mixed
1.0,MSC10,MSC01,mem,motor
0.85,MSC10,MSC01,mem,motor
0.8,MSC10,MSC01,mem,motor
0.9,MSC10,MSC01,mem,motor
0.8,MSC10,MSC01,mem,motor
0.75,MSC10,MSC01,mem,motor
1.0,MSC10,MSC01,mem,motor
0.95,MSC10,MSC01,mem,motor
0.85,MSC10,MSC01,mem,motor
0.95,MSC10,MSC01,mem,motor
0.6,MSC10,MSC01,motor,mixed
0.6,MSC10,MSC01,motor,mixed
0.6,MSC10,MSC01,motor,mixed
0.55,MSC10,MSC01,motor,mixed
0.6,MSC10,MSC01,motor,mixed
0.6,MSC10,MSC01,motor,mixed
0.55,MSC10,MSC01,motor,mixed
0.65,MSC10,MSC01,motor,mixed
0.55,MSC10,MSC01,motor,mixed
0.55,MSC10,MSC01,motor,mixed
