task,acc
mixed,0.745
motor,0.93
mem,0.9850000000000001
mixed,0.5449999999999999
motor,0.7649999999999999
mem,0.5999999999999999
mixed,0.7699999999999999
motor,0.6250000000000001
mem,0.525
mixed,0.9
motor,0.99
mem,0.8599999999999998
mixed,0.6700000000000002
motor,0.885
mem,0.95
mixed,0.7749999999999999
motor,0.9
mem,0.875
mixed,0.825
motor,0.7500000000000001
mem,0.755
mixed,0.8950000000000001
motor,0.7999999999999999
mem,0.575
mixed,0.6349999999999999
motor,0.8700000000000001
mem,0.5700000000000001
mixed,0.8600000000000001
motor,0.915
mem,0.76
mixed,0.9099999999999999
motor,0.865
mem,0.7799999999999999
mixed,0.7849999999999999
motor,0.7949999999999999
mem,0.7899999999999998
mixed,0.8249999999999998
motor,0.7899999999999999
mem,0.7799999999999999
mixed,0.7900000000000001
motor,0.885
mem,0.67
mixed,0.5549999999999999
motor,0.73
mem,0.8099999999999999
mixed,0.755
motor,0.5549999999999999
mem,0.665
mixed,0.6
motor,0.96
mem,0.8099999999999999
mixed,0.8550000000000001
motor,0.9549999999999998
mem,0.9200000000000002
mixed,0.5149999999999999
motor,0.615
mem,0.7450000000000002
mixed,0.5
motor,0.95
mem,0.6900000000000001
mixed,0.53
motor,0.93
mem,0.9049999999999999
mixed,0.7999999999999999
motor,0.835
mem,0.7499999999999999
mixed,0.76
motor,0.8149999999999998
mem,0.96
mixed,0.505
motor,0.7350000000000001
mem,0.51
mixed,0.945
motor,0.8799999999999999
mem,0.9549999999999998
mixed,0.6950000000000001
motor,0.67
mem,0.9000000000000001
mixed,0.595
motor,0.99
mem,0.8850000000000001
mixed,0.7949999999999999
motor,0.785
mem,0.7849999999999999
mixed,0.5
motor,0.97
mem,0.765
mixed,0.525
motor,0.9549999999999998
mem,0.8400000000000001
mixed,0.535
motor,0.9550000000000001
mem,0.875
mixed,0.625
motor,0.9400000000000001
mem,0.8499999999999999
mixed,0.7799999999999999
motor,0.97
mem,0.99
mixed,0.82
motor,0.755
mem,0.7849999999999999
mixed,0.74
motor,0.76
mem,0.96
mixed,0.725
motor,0.79
mem,0.9600000000000002
mixed,0.585
motor,0.8300000000000001
mem,0.8400000000000001
mixed,0.52
motor,0.6
mem,0.795
mixed,0.62
motor,0.685
mem,0.9149999999999998
mixed,0.67
motor,0.9850000000000001
mem,0.9349999999999999
mixed,0.8350000000000002
motor,0.835
mem,0.945
mixed,0.705
motor,0.775
mem,0.9199999999999999
mixed,0.975
motor,0.64
mem,0.6849999999999999
mixed,0.8349999999999997
motor,0.7849999999999999
mem,0.585
mixed,0.63
motor,0.845
mem,0.59
mixed,0.755
motor,0.835
mem,0.79
mixed,0.57
motor,0.97
mem,0.85
mixed,0.585
motor,0.73
mem,0.9400000000000001
mixed,0.64
motor,0.78
mem,0.755
mixed,0.6700000000000002
motor,0.78
mem,0.6099999999999999
mixed,0.6950000000000001
motor,0.95
mem,0.7949999999999999
mixed,0.63
motor,0.89
mem,0.51
mixed,0.78
motor,0.795
mem,0.7699999999999999
mixed,0.8
motor,0.825
mem,0.655
mixed,0.7599999999999999
motor,0.7999999999999998
mem,0.635
mixed,0.66
motor,0.85
mem,0.8949999999999999
