acc,train,test,frames
0.76,MSC01,MSC02,300
0.71,MSC01,MSC03,300
0.89,MSC01,MSC04,300
0.96,MSC01,MSC05,300
0.93,MSC01,MSC06,300
0.74,MSC01,MSC07,300
0.9200000000000002,MSC01,MSC10,300
0.9299999999999999,MSC02,MSC01,300
0.7100000000000001,MSC02,MSC03,300
0.9550000000000001,MSC02,MSC04,300
0.8549999999999999,MSC02,MSC05,300
0.985,MSC02,MSC06,300
0.8150000000000001,MSC02,MSC07,300
0.9549999999999998,MSC02,MSC10,300
0.6,MSC03,MSC01,300
0.7000000000000001,MSC03,MSC02,300
0.8166666666666668,MSC03,MSC04,300
0.7666666666666667,MSC03,MSC05,300
0.5833333333333334,MSC03,MSC06,300
0.5833333333333334,MSC03,MSC07,300
0.7833333333333333,MSC03,MSC10,300
0.9928571428571429,MSC04,MSC01,300
0.9285714285714286,MSC04,MSC02,300
0.8214285714285714,MSC04,MSC03,300
0.9285714285714287,MSC04,MSC05,300
0.9785714285714286,MSC04,MSC06,300
0.8785714285714288,MSC04,MSC07,300
0.9500000000000001,MSC04,MSC10,300
0.985,MSC05,MSC01,300
0.7,MSC05,MSC02,300
0.905,MSC05,MSC03,300
0.845,MSC05,MSC04,300
1.0,MSC05,MSC06,300
0.885,MSC05,MSC07,300
0.8950000000000001,MSC05,MSC10,300
0.9500000000000001,MSC06,MSC01,300
0.911111111111111,MSC06,MSC02,300
0.9388888888888888,MSC06,MSC03,300
0.9611111111111111,MSC06,MSC04,300
0.9666666666666666,MSC06,MSC05,300
0.8444444444444444,MSC06,MSC07,300
0.9277777777777777,MSC06,MSC10,300
0.95,MSC07,MSC01,300
0.8450000000000001,MSC07,MSC02,300
0.8300000000000001,MSC07,MSC03,300
0.9250000000000002,MSC07,MSC04,300
0.99,MSC07,MSC05,300
0.975,MSC07,MSC06,300
0.9349999999999999,MSC07,MSC10,300
0.5,MSC10,MSC01,300
0.5,MSC10,MSC02,300
0.65,MSC10,MSC03,300
0.575,MSC10,MSC04,300
0.5,MSC10,MSC05,300
0.5,MSC10,MSC06,300
0.5,MSC10,MSC07,300
