acc,train,test,frames
0.63,MSC06,MSC10,15
0.8300000000000001,MSC07,MSC01,15
0.8150000000000001,MSC07,MSC02,15
0.57,MSC07,MSC03,15
0.655,MSC07,MSC04,15
0.6099999999999999,MSC07,MSC05,15
0.605,MSC07,MSC06,15
0.6400000000000001,MSC07,MSC10,15
0.93,MSC10,MSC01,15
0.8300000000000001,MSC10,MSC02,15
0.85,MSC10,MSC03,15
0.915,MSC10,MSC04,15
0.905,MSC10,MSC05,15
0.795,MSC10,MSC06,15
0.7899999999999999,MSC10,MSC07,15
0.925,MSC01,MSC02,20
0.89,MSC01,MSC03,20
0.925,MSC01,MSC04,20
0.775,MSC01,MSC05,20
0.865,MSC01,MSC06,20
0.915,MSC01,MSC07,20
0.93,MSC01,MSC10,20
0.5149999999999999,MSC02,MSC01,20
0.5249999999999999,MSC02,MSC03,20
0.65,MSC02,MSC04,20
0.6100000000000001,MSC02,MSC05,20
0.94,MSC02,MSC06,20
0.57,MSC02,MSC07,20
0.7549999999999999,MSC02,MSC10,20
0.7562500000000001,MSC03,MSC01,20
0.825,MSC03,MSC02,20
0.85625,MSC03,MSC04,20
0.8625,MSC03,MSC05,20
0.6625000000000001,MSC03,MSC06,20
0.55,MSC03,MSC07,20
0.8125,MSC03,MSC10,20
0.965,MSC04,MSC01,20
0.93,MSC04,MSC02,20
0.91,MSC04,MSC03,20
0.875,MSC04,MSC05,20
0.995,MSC04,MSC06,20
0.965,MSC04,MSC07,20
0.8800000000000001,MSC04,MSC10,20
0.875,MSC05,MSC01,20
0.7150000000000001,MSC05,MSC02,20
0.9,MSC05,MSC03,20
0.8649999999999999,MSC05,MSC04,20
1.0,MSC05,MSC06,20
0.89,MSC05,MSC07,20
0.92,MSC05,MSC10,20
0.6999999999999998,MSC06,MSC01,20
0.655,MSC06,MSC02,20
0.65,MSC06,MSC03,20
0.775,MSC06,MSC04,20
0.925,MSC06,MSC05,20
0.7650000000000001,MSC06,MSC07,20
0.82,MSC06,MSC10,20
0.5599999999999999,MSC07,MSC01,20
0.575,MSC07,MSC02,20
0.605,MSC07,MSC03,20
0.725,MSC07,MSC04,20
0.6950000000000001,MSC07,MSC05,20
0.6900000000000001,MSC07,MSC06,20
0.6700000000000002,MSC07,MSC10,20
0.8400000000000001,MSC10,MSC01,20
0.6900000000000002,MSC10,MSC02,20
0.7699999999999999,MSC10,MSC03,20
0.8400000000000001,MSC10,MSC04,20
0.8,MSC10,MSC05,20
0.8400000000000001,MSC10,MSC06,20
0.74,MSC10,MSC07,20
0.8950000000000001,MSC01,MSC02,25
0.845,MSC01,MSC03,25
0.9200000000000002,MSC01,MSC04,25
0.9549999999999998,MSC01,MSC05,25
0.92,MSC01,MSC06,25
0.735,MSC01,MSC07,25
0.935,MSC01,MSC10,25
0.875,MSC02,MSC01,25
0.9350000000000002,MSC02,MSC03,25
0.85,MSC02,MSC04,25
0.8950000000000001,MSC02,MSC05,25
0.9200000000000002,MSC02,MSC06,25
0.8049999999999999,MSC02,MSC07,25
0.8800000000000001,MSC02,MSC10,25
0.7875,MSC03,MSC01,25
