Test_Variable,Train_Variable,Mean,Std
mixed,mem,0.7,0.1560931752674644
motor,mem,0.765625,0.15808250809333513
mem,mixed,0.78984375,0.14534569833266317
motor,mixed,0.7789062499999999,0.15139685249186802
mem,motor,0.6460937499999999,0.20223055511132565
mixed,motor,0.58828125,0.2083080341781723
