train_task,test_task,sub,acc
mixed,motor,MSC01,0.9949999999999999
mixed,mem,MSC01,0.93
motor,mixed,MSC01,0.82
motor,mem,MSC01,0.6500000000000001
mem,mixed,MSC01,0.945
mem,motor,MSC01,1.0
mixed,motor,MSC02,0.74
mixed,mem,MSC02,0.835
motor,mixed,MSC02,0.5
motor,mem,MSC02,0.5
mem,mixed,MSC02,0.725
mem,motor,MSC02,0.625
mixed,motor,MSC03,1.0
mixed,mem,MSC03,0.7899999999999999
motor,mixed,MSC03,0.5499999999999999
motor,mem,MSC03,0.575
mem,mixed,MSC03,0.6300000000000001
mem,motor,MSC03,0.8750000000000002
mixed,motor,MSC04,0.9549999999999998
mixed,mem,MSC04,0.9600000000000002
motor,mixed,MSC04,0.5899999999999999
motor,mem,MSC04,0.69
mem,mixed,MSC04,0.915
mem,motor,MSC04,0.8999999999999998
mixed,motor,MSC05,0.9549999999999998
mixed,mem,MSC05,1.0
motor,mixed,MSC05,0.5849999999999999
motor,mem,MSC05,0.7999999999999999
mem,mixed,MSC05,0.8449999999999998
mem,motor,MSC05,1.0
mixed,motor,MSC06,0.9299999999999999
mixed,mem,MSC06,1.0
motor,mixed,MSC06,0.595
motor,mem,MSC06,0.745
mem,mixed,MSC06,0.76
mem,motor,MSC06,0.915
mixed,motor,MSC07,0.82
mixed,mem,MSC07,0.9000000000000001
motor,mixed,MSC07,0.5499999999999999
motor,mem,MSC07,0.505
mem,mixed,MSC07,0.885
mem,motor,MSC07,0.7849999999999999
mixed,motor,MSC10,0.915
mixed,mem,MSC10,0.9650000000000001
motor,mixed,MSC10,0.515
motor,mem,MSC10,0.65
mem,mixed,MSC10,0.8550000000000001
mem,motor,MSC10,0.9000000000000001
