train_task,test_task,sub,acc
mixed,motor,MSC01,0.8150000000000001
mixed,mem,MSC01,0.8450000000000001
motor,mixed,MSC01,0.8550000000000001
motor,mem,MSC01,0.8099999999999999
mem,mixed,MSC01,0.8249999999999998
mem,motor,MSC01,0.875
mixed,motor,MSC02,0.9049999999999999
mixed,mem,MSC02,0.8700000000000001
motor,mixed,MSC02,0.615
motor,mem,MSC02,0.505
mem,mixed,MSC02,0.635
mem,motor,MSC02,0.8300000000000001
mixed,motor,MSC03,0.9350000000000002
mixed,mem,MSC03,0.805
motor,mixed,MSC03,0.7849999999999999
motor,mem,MSC03,0.71
mem,mixed,MSC03,0.715
mem,motor,MSC03,0.8099999999999999
mixed,motor,MSC04,0.9349999999999999
mixed,mem,MSC04,0.8800000000000001
motor,mixed,MSC04,0.8799999999999999
motor,mem,MSC04,0.7649999999999999
mem,mixed,MSC04,0.8549999999999999
mem,motor,MSC04,0.8399999999999999
mixed,motor,MSC05,0.885
mixed,mem,MSC05,1.0
motor,mixed,MSC05,0.7350000000000001
motor,mem,MSC05,0.7150000000000001
mem,mixed,MSC05,0.9600000000000002
mem,motor,MSC05,0.755
mixed,motor,MSC06,0.915
mixed,mem,MSC06,0.9100000000000001
motor,mixed,MSC06,0.765
motor,mem,MSC06,0.64
mem,mixed,MSC06,0.7849999999999999
mem,motor,MSC06,0.7899999999999998
mixed,motor,MSC07,0.6900000000000001
mixed,mem,MSC07,0.7
motor,mixed,MSC07,0.5199999999999999
motor,mem,MSC07,0.5199999999999998
mem,mixed,MSC07,0.575
mem,motor,MSC07,0.6500000000000001
mixed,motor,MSC10,0.8750000000000002
mixed,mem,MSC10,0.9199999999999999
motor,mixed,MSC10,0.805
motor,mem,MSC10,0.7649999999999999
mem,mixed,MSC10,0.905
mem,motor,MSC10,0.85
