,train_task,test_task,sub,acc,Features
28,mem,mixed,MSC05,0.6950000000000001,30
29,mem,motor,MSC05,0.96,30
30,mixed,motor,MSC06,0.475,30
31,mixed,mem,MSC06,0.5999999999999999,30
32,motor,mixed,MSC06,0.5950000000000001,30
33,motor,mem,MSC06,0.7349999999999999,30
34,mem,mixed,MSC06,0.675,30
35,mem,motor,MSC06,0.775,30
36,mixed,motor,MSC07,0.6849999999999999,30
37,mixed,mem,MSC07,0.7649999999999999,30
38,motor,mixed,MSC07,0.4999999999999999,30
39,motor,mem,MSC07,0.56,30
40,mem,mixed,MSC07,0.7899999999999998,30
41,mem,motor,MSC07,0.7,30
42,mixed,motor,MSC10,0.7599999999999999,30
43,mixed,mem,MSC10,0.905,30
44,motor,mixed,MSC10,0.5999999999999999,30
45,motor,mem,MSC10,0.75,30
46,mem,mixed,MSC10,0.8499999999999999,30
47,mem,motor,MSC10,0.7799999999999999,30
0,mixed,motor,MSC01,0.67,40
1,mixed,mem,MSC01,0.68,40
2,motor,mixed,MSC01,0.6950000000000001,40
3,motor,mem,MSC01,0.665,40
4,mem,mixed,MSC01,0.7750000000000001,40
5,mem,motor,MSC01,0.6649999999999999,40
6,mixed,motor,MSC02,0.7749999999999999,40
7,mixed,mem,MSC02,0.685,40
8,motor,mixed,MSC02,0.64,40
9,motor,mem,MSC02,0.51,40
10,mem,mixed,MSC02,0.835,40
11,mem,motor,MSC02,0.7899999999999999,40
12,mixed,motor,MSC03,0.705,40
13,mixed,mem,MSC03,0.6300000000000001,40
14,motor,mixed,MSC03,0.5650000000000001,40
15,motor,mem,MSC03,0.495,40
16,mem,mixed,MSC03,0.6700000000000002,40
17,mem,motor,MSC03,0.5549999999999999,40
18,mixed,motor,MSC04,0.89,40
19,mixed,mem,MSC04,0.865,40
20,motor,mixed,MSC04,0.7000000000000001,40
21,motor,mem,MSC04,0.745,40
22,mem,mixed,MSC04,0.835,40
23,mem,motor,MSC04,0.93,40
24,mixed,motor,MSC05,0.8399999999999999,40
25,mixed,mem,MSC05,0.86,40
26,motor,mixed,MSC05,0.7200000000000001,40
27,motor,mem,MSC05,0.655,40
28,mem,mixed,MSC05,0.8149999999999998,40
29,mem,motor,MSC05,0.7699999999999999,40
30,mixed,motor,MSC06,0.7899999999999999,40
31,mixed,mem,MSC06,0.735,40
32,motor,mixed,MSC06,0.6,40
33,motor,mem,MSC06,0.7000000000000001,40
34,mem,mixed,MSC06,0.585,40
35,mem,motor,MSC06,0.7749999999999999,40
36,mixed,motor,MSC07,0.6599999999999999,40
37,mixed,mem,MSC07,0.5299999999999999,40
38,motor,mixed,MSC07,0.5599999999999998,40
39,motor,mem,MSC07,0.5,40
40,mem,mixed,MSC07,0.5,40
41,mem,motor,MSC07,0.5,40
42,mixed,motor,MSC10,0.5349999999999999,40
43,mixed,mem,MSC10,0.7550000000000001,40
44,motor,mixed,MSC10,0.595,40
45,motor,mem,MSC10,0.72,40
46,mem,mixed,MSC10,0.8800000000000001,40
47,mem,motor,MSC10,0.6249999999999999,40
0,mixed,motor,MSC01,0.67,50
1,mixed,mem,MSC01,0.7150000000000001,50
2,motor,mixed,MSC01,0.7699999999999999,50
3,motor,mem,MSC01,0.5999999999999999,50
4,mem,mixed,MSC01,0.85,50
5,mem,motor,MSC01,0.6149999999999999,50
6,mixed,motor,MSC02,0.58,50
7,mixed,mem,MSC02,0.7649999999999999,50
8,motor,mixed,MSC02,0.57,50
9,motor,mem,MSC02,0.615,50
10,mem,mixed,MSC02,0.71,50
11,mem,motor,MSC02,0.5599999999999999,50
12,mixed,motor,MSC03,0.7649999999999999,50
13,mixed,mem,MSC03,0.67,50
14,motor,mixed,MSC03,0.67,50
15,motor,mem,MSC03,0.485,50
16,mem,mixed,MSC03,0.705,50
17,mem,motor,MSC03,0.695,50
18,mixed,motor,MSC04,0.7949999999999999,50
19,mixed,mem,MSC04,0.8800000000000001,50
20,motor,mixed,MSC04,0.745,50
21,motor,mem,MSC04,0.5649999999999998,50
22,mem,mixed,MSC04,0.9250000000000002,50
23,mem,motor,MSC04,0.75,50
24,mixed,motor,MSC05,0.9,50
25,mixed,mem,MSC05,0.96,50
26,motor,mixed,MSC05,0.76,50
27,motor,mem,MSC05,0.7250000000000001,50
28,mem,mixed,MSC05,0.955,50
29,mem,motor,MSC05,0.89,50
30,mixed,motor,MSC06,0.7249999999999999,50
31,mixed,mem,MSC06,0.885,50
32,motor,mixed,MSC06,0.5549999999999999,50
33,motor,mem,MSC06,0.65,50
34,mem,mixed,MSC06,0.7749999999999999,50
35,mem,motor,MSC06,0.6400000000000001,50
36,mixed,motor,MSC07,0.755,50
37,mixed,mem,MSC07,0.915,50
38,motor,mixed,MSC07,0.5549999999999999,50
39,motor,mem,MSC07,0.6200000000000001,50
40,mem,mixed,MSC07,0.9,50
41,mem,motor,MSC07,0.795,50
42,mixed,motor,MSC10,0.6300000000000001,50
43,mixed,mem,MSC10,0.5950000000000001,50
44,motor,mixed,MSC10,0.5549999999999999,50
45,motor,mem,MSC10,0.615,50
46,mem,mixed,MSC10,0.6050000000000002,50
47,mem,motor,MSC10,0.5850000000000002,50
0,mixed,motor,MSC01,0.78,60
1,mixed,mem,MSC01,0.8150000000000001,60
2,motor,mixed,MSC01,0.68,60
3,motor,mem,MSC01,0.6950000000000001,60
4,mem,mixed,MSC01,0.825,60
5,mem,motor,MSC01,0.95,60
6,mixed,motor,MSC02,0.5,60
7,mixed,mem,MSC02,0.695,60
8,motor,mixed,MSC02,0.5,60
9,motor,mem,MSC02,0.57,60
10,mem,mixed,MSC02,0.6950000000000001,60
11,mem,motor,MSC02,0.525,60
12,mixed,motor,MSC03,0.8149999999999998,60
13,mixed,mem,MSC03,0.7849999999999999,60
14,motor,mixed,MSC03,0.635,60
15,motor,mem,MSC03,0.7000000000000001,60
16,mem,mixed,MSC03,0.5850000000000001,60
17,mem,motor,MSC03,0.7649999999999999,60
18,mixed,motor,MSC04,0.89,60
19,mixed,mem,MSC04,0.95,60
20,motor,mixed,MSC04,0.765,60
21,motor,mem,MSC04,0.92,60
22,mem,mixed,MSC04,0.8549999999999999,60
23,mem,motor,MSC04,0.93,60
24,mixed,motor,MSC05,0.74,60
25,mixed,mem,MSC05,0.82,60
26,motor,mixed,MSC05,0.5999999999999999,60
27,motor,mem,MSC05,0.6100000000000001,60
28,mem,mixed,MSC05,0.8499999999999999,60
29,mem,motor,MSC05,0.8799999999999999,60
30,mixed,motor,MSC06,0.7549999999999999,60
31,mixed,mem,MSC06,0.8400000000000001,60
32,motor,mixed,MSC06,0.7100000000000001,60
33,motor,mem,MSC06,0.7250000000000001,60
34,mem,mixed,MSC06,0.7849999999999999,60
35,mem,motor,MSC06,0.8400000000000001,60
36,mixed,motor,MSC07,0.6849999999999999,60
