Network,Acc,Features,z_score
unassign,0.7302083333333332,14808,-0.23024858154788236
default,0.8051041666666666,10824,0.2571372775284548
visual,0.7301041666666667,8736,-0.23092644783310612
fp,0.8373958333333332,4620,0.4672758259480155
dan,0.8033333333333333,5264,0.2456135506796405
van,0.7958333333333334,3151,0.1968071781434847
salience,0.7545833333333333,484,-0.07162787080537474
co,0.7994791666666666,4060,0.22053249812633774
sm,0.7442708333333333,2375,-0.13873663304258904
sm-lat,0.6885416666666666,316,-0.5013950956376383
auditory,0.7057291666666666,564,-0.38954715857561373
pmn,0.6941666666666667,45,-0.4647903162355206
pon,0.6747916666666667,21,-0.5908734452872574
