,test_task,train_task,Mean,Std
0,mem,mixed,0.91875,0.06998724373565723
1,mem,motor,0.6325,0.09680613912055674
2,mixed,mem,0.8249999999999998,0.10460811222298744
3,mixed,motor,0.58,0.09651054716602589
4,motor,mem,0.880625,0.12678546277641053
5,motor,mixed,0.9049999999999999,0.09215669884960691
