train_task,test_task,sub,acc
mixed,motor,MSC01,0.8049999999999999
mixed,mem,MSC01,0.7100000000000001
motor,mixed,MSC01,0.66
motor,mem,MSC01,0.68
mem,mixed,MSC01,0.7150000000000001
mem,motor,MSC01,0.8799999999999999
mixed,motor,MSC02,0.6799999999999999
mixed,mem,MSC02,0.7349999999999999
motor,mixed,MSC02,0.56
motor,mem,MSC02,0.72
mem,mixed,MSC02,0.6450000000000001
mem,motor,MSC02,0.6950000000000001
mixed,motor,MSC03,0.6899999999999998
mixed,mem,MSC03,0.705
motor,mixed,MSC03,0.445
motor,mem,MSC03,0.43500000000000005
mem,mixed,MSC03,0.6000000000000001
mem,motor,MSC03,0.585
mixed,motor,MSC04,0.755
mixed,mem,MSC04,0.685
motor,mixed,MSC04,0.5800000000000001
motor,mem,MSC04,0.7699999999999998
mem,mixed,MSC04,0.635
mem,motor,MSC04,0.8800000000000001
mixed,motor,MSC05,1.0
mixed,mem,MSC05,0.99
motor,mixed,MSC05,0.7200000000000001
motor,mem,MSC05,0.7300000000000001
mem,mixed,MSC05,0.9000000000000001
mem,motor,MSC05,1.0
mixed,motor,MSC06,0.615
mixed,mem,MSC06,0.5149999999999999
motor,mixed,MSC06,0.59
motor,mem,MSC06,0.665
mem,mixed,MSC06,0.635
mem,motor,MSC06,0.64
mixed,motor,MSC07,0.5499999999999999
mixed,mem,MSC07,0.8150000000000001
motor,mixed,MSC07,0.4149999999999999
motor,mem,MSC07,0.535
mem,mixed,MSC07,0.8550000000000002
mem,motor,MSC07,0.6400000000000001
mixed,motor,MSC10,0.875
mixed,mem,MSC10,0.885
motor,mixed,MSC10,0.8450000000000001
motor,mem,MSC10,0.8000000000000002
mem,mixed,MSC10,0.8450000000000001
mem,motor,MSC10,0.8300000000000001
