train_task,test_task,sub,acc
mixed,motor,MSC01,0.9949999999999999
mixed,mem,MSC01,0.9400000000000001
motor,mixed,MSC01,0.7799999999999999
motor,mem,MSC01,0.6500000000000001
mem,mixed,MSC01,0.945
mem,motor,MSC01,1.0
mixed,motor,MSC02,0.755
mixed,mem,MSC02,0.82
motor,mixed,MSC02,0.5
motor,mem,MSC02,0.5
mem,mixed,MSC02,0.725
mem,motor,MSC02,0.635
mixed,motor,MSC03,1.0
mixed,mem,MSC03,0.8399999999999999
motor,mixed,MSC03,0.5399999999999998
motor,mem,MSC03,0.57
mem,mixed,MSC03,0.6350000000000001
mem,motor,MSC03,0.8350000000000002
mixed,motor,MSC04,0.95
mixed,mem,MSC04,0.9600000000000002
motor,mixed,MSC04,0.595
motor,mem,MSC04,0.65
mem,mixed,MSC04,0.9099999999999999
mem,motor,MSC04,0.8999999999999998
mixed,motor,MSC05,0.96
mixed,mem,MSC05,1.0
motor,mixed,MSC05,0.57
motor,mem,MSC05,0.825
mem,mixed,MSC05,0.8399999999999999
mem,motor,MSC05,0.985
mixed,motor,MSC06,0.8700000000000001
mixed,mem,MSC06,0.95
motor,mixed,MSC06,0.5999999999999999
motor,mem,MSC06,0.74
mem,mixed,MSC06,0.755
mem,motor,MSC06,0.905
mixed,motor,MSC07,0.8249999999999998
mixed,mem,MSC07,0.89
motor,mixed,MSC07,0.5499999999999999
motor,mem,MSC07,0.5
mem,mixed,MSC07,0.8799999999999999
mem,motor,MSC07,0.745
mixed,motor,MSC10,0.925
mixed,mem,MSC10,0.9650000000000001
motor,mixed,MSC10,0.51
motor,mem,MSC10,0.6950000000000001
mem,mixed,MSC10,0.8399999999999999
mem,motor,MSC10,0.9349999999999999
