sub,task,acc
MSC01,glass,0.75
MSC01,semantic,0.6
MSC01,motor,0.45
MSC01,mem,0.5
MSC02,glass,0.55
MSC02,semantic,0.5
MSC02,motor,0.8
MSC02,mem,0.55
MSC03,glass,0.6
MSC03,semantic,0.55
MSC03,motor,0.5
MSC03,mem,0.4583333333333333
MSC04,glass,0.5
MSC04,semantic,0.65
MSC04,motor,0.5
MSC04,mem,0.6
MSC05,glass,0.5
MSC05,semantic,0.5
MSC05,motor,0.5
MSC05,mem,0.35
MSC06,glass,0.48148148148148145
MSC06,semantic,0.5
MSC06,motor,0.537037037037037
MSC06,mem,0.75
MSC07,glass,0.25
MSC07,semantic,0.7
MSC07,motor,0.6666666666666666
MSC07,mem,0.45
MSC10,glass,0.45
MSC10,semantic,0.5
MSC10,motor,0.7
MSC10,mem,0.75
MSC01,glass,0.5
MSC01,semantic,0.65
MSC01,motor,0.5
MSC01,mem,0.5
MSC02,glass,0.55
MSC02,semantic,0.6
MSC02,motor,0.55
MSC02,mem,0.6
MSC03,glass,0.55
MSC03,semantic,0.6
MSC03,motor,0.55
MSC03,mem,0.3333333333333333
MSC04,glass,0.3
MSC04,semantic,0.4
MSC04,motor,0.55
MSC04,mem,0.55
MSC05,glass,0.55
MSC05,semantic,0.7
MSC05,motor,0.55
MSC05,mem,0.55
MSC06,glass,0.6481481481481481
MSC06,semantic,0.6
MSC06,motor,0.35185185185185186
MSC06,mem,0.45
MSC07,glass,0.5
MSC07,semantic,0.6
MSC07,motor,0.5925925925925926
MSC07,mem,0.65
MSC10,glass,0.3
MSC10,semantic,0.5
MSC10,motor,0.4
MSC10,mem,0.2
MSC01,glass,0.6
MSC01,semantic,0.55
MSC01,motor,0.6
MSC01,mem,0.35
MSC02,glass,0.4
MSC02,semantic,0.65
MSC02,motor,0.45
MSC02,mem,0.45
MSC03,glass,0.45
MSC03,semantic,0.55
MSC03,motor,0.6
MSC03,mem,0.4375
MSC04,glass,0.6
MSC04,semantic,0.55
MSC04,motor,0.65
MSC04,mem,0.5
MSC05,glass,0.55
MSC05,semantic,0.6
MSC05,motor,0.65
MSC05,mem,0.55
MSC06,glass,0.537037037037037
MSC06,semantic,0.5
MSC06,motor,0.5185185185185185
MSC06,mem,0.4
MSC07,glass,0.5
MSC07,semantic,0.45
MSC07,motor,0.7037037037037037
MSC07,mem,0.75
MSC10,glass,0.45
MSC10,semantic,0.65
MSC10,motor,0.5
MSC10,mem,0.7
MSC01,glass,0.6
MSC01,semantic,0.55
MSC01,motor,0.6
MSC01,mem,0.45
MSC02,glass,0.6
MSC02,semantic,0.45
MSC02,motor,0.65
MSC02,mem,0.55
MSC03,glass,0.45
MSC03,semantic,0.4
MSC03,motor,0.5
MSC03,mem,0.3958333333333333
MSC04,glass,0.55
MSC04,semantic,0.4
MSC04,motor,0.35
MSC04,mem,0.5
MSC05,glass,0.55
MSC05,semantic,0.4
MSC05,motor,0.6
