,test_task,train_task,Mean,Std
0,mem,mixed,0.87921875,0.0788503824499286
1,mem,motor,0.6292013888888888,0.10748973921540657
2,mixed,mem,0.8548437500000001,0.08035756448302087
3,mixed,motor,0.658611111111111,0.12057182978443237
4,motor,mem,0.7410416666666667,0.12310805877684235
5,motor,mixed,0.764375,0.10306820292050689
