task,acc
mixed,0.9
motor,0.9
mem,0.7
mixed,0.85
motor,0.9
mem,0.6666666666666666
mixed,0.7
motor,0.95
mem,0.8
mixed,0.8
motor,0.9
mem,0.7
mixed,0.6470588235294118
motor,0.8823529411764706
mem,0.6111111111111112
mixed,0.8888888888888888
motor,0.7647058823529411
mem,0.7222222222222222
mixed,0.85
motor,0.95
mem,0.85
mixed,0.75
motor,0.95
mem,1.0
mixed,0.9
motor,0.9
mem,0.8333333333333334
mixed,0.75
motor,1.0
mem,0.9
mixed,0.85
motor,0.95
mem,1.0
mixed,0.9411764705882353
motor,0.8823529411764706
mem,0.9444444444444444
mixed,0.9444444444444444
motor,1.0
mem,0.8333333333333334
mixed,0.7
motor,0.85
mem,0.9
mixed,0.7
motor,0.95
mem,0.7
mixed,1.0
motor,0.7
mem,0.95
mixed,0.8
motor,0.9
mem,0.75
mixed,1.0
motor,1.0
mem,1.0
mixed,0.9411764705882353
motor,0.7058823529411765
mem,0.7777777777777778
mixed,0.8333333333333334
motor,0.9411764705882353
mem,0.8888888888888888
mixed,0.85
motor,0.95
mem,0.8
mixed,0.65
motor,0.95
mem,0.8
mixed,0.95
motor,0.95
mem,0.8
mixed,0.8
motor,0.85
mem,0.8888888888888888
mixed,0.8
motor,0.9
mem,0.85
mixed,1.0
motor,1.0
mem,0.7777777777777778
mixed,0.8888888888888888
motor,0.8235294117647058
mem,0.8333333333333334
mixed,0.95
motor,1.0
mem,0.85
mixed,0.7
motor,0.7
mem,0.75
mixed,0.85
motor,0.5
mem,0.65
mixed,1.0
motor,0.8
mem,0.8888888888888888
mixed,0.65
motor,0.85
mem,0.8
mixed,0.9411764705882353
motor,0.5882352941176471
mem,0.7777777777777778
mixed,0.7222222222222222
motor,0.6470588235294118
mem,0.6111111111111112
mixed,0.85
motor,0.8
mem,0.8
mixed,0.6
motor,0.95
mem,0.85
mixed,0.95
motor,0.6
mem,0.9
mixed,0.95
motor,0.95
mem,0.9444444444444444
mixed,0.65
motor,1.0
mem,0.85
mixed,0.85
motor,0.85
mem,1.0
mixed,0.7777777777777778
motor,0.7647058823529411
mem,0.6666666666666666
mixed,0.85
motor,0.9
mem,0.95
mixed,0.75
motor,0.7
mem,0.7
mixed,0.7
motor,0.8
mem,0.8
mixed,0.6
motor,0.95
mem,0.8888888888888888
mixed,0.55
motor,0.85
mem,0.75
mixed,0.5
motor,0.95
mem,0.95
mixed,0.5882352941176471
motor,0.7647058823529411
mem,0.8333333333333334
mixed,0.55
motor,0.9
mem,0.85
mixed,0.75
motor,0.9
mem,0.9
mixed,0.95
motor,0.9
mem,0.85
mixed,0.8
motor,0.8
mem,0.8888888888888888
mixed,0.8
motor,0.95
mem,0.9
mixed,0.8
motor,0.8
mem,0.95
mixed,0.8823529411764706
motor,0.8235294117647058
mem,0.7777777777777778
mixed,0.8888888888888888
motor,0.8823529411764706
mem,0.9444444444444444
