train_task,test_task,sub,acc
mixed,motor,MSC01,0.65
mixed,mem,MSC01,0.5599999999999999
motor,mixed,MSC01,0.505
motor,mem,MSC01,0.51
mem,mixed,MSC01,0.5050000000000001
mem,motor,MSC01,0.6100000000000001
mixed,motor,MSC02,0.465
mixed,mem,MSC02,0.5900000000000001
motor,mixed,MSC02,0.5
motor,mem,MSC02,0.5
mem,mixed,MSC02,0.45
mem,motor,MSC02,0.58
mixed,motor,MSC03,0.635
mixed,mem,MSC03,0.5449999999999999
motor,mixed,MSC03,0.5
motor,mem,MSC03,0.5
mem,mixed,MSC03,0.5
mem,motor,MSC03,0.5
mixed,motor,MSC04,0.5450000000000002
mixed,mem,MSC04,0.53
motor,mixed,MSC04,0.5499999999999999
motor,mem,MSC04,0.48
mem,mixed,MSC04,0.635
mem,motor,MSC04,0.445
mixed,motor,MSC05,0.5450000000000002
mixed,mem,MSC05,0.53
motor,mixed,MSC05,0.5
motor,mem,MSC05,0.5
mem,mixed,MSC05,0.51
mem,motor,MSC05,0.8000000000000002
mixed,motor,MSC06,0.565
mixed,mem,MSC06,0.5199999999999999
motor,mixed,MSC06,0.505
motor,mem,MSC06,0.5
mem,mixed,MSC06,0.49000000000000005
mem,motor,MSC06,0.6050000000000001
mixed,motor,MSC07,0.51
mixed,mem,MSC07,0.5349999999999999
motor,mixed,MSC07,0.5
motor,mem,MSC07,0.5
mem,mixed,MSC07,0.4600000000000001
mem,motor,MSC07,0.58
mixed,motor,MSC10,0.5549999999999999
mixed,mem,MSC10,0.595
motor,mixed,MSC10,0.45
motor,mem,MSC10,0.48500000000000004
mem,mixed,MSC10,0.615
mem,motor,MSC10,0.39
