train_task,test_task,train_sub,test_sub,acc,spec,sen
mem,glass,MSC01,MSC04,0.89,0.78,1.0
mem,semantic,MSC01,MSC04,0.82,0.78,0.8600000000000001
mem,motor,MSC01,MSC04,0.89,0.78,1.0
glass,semantic,MSC01,MSC05,0.6300000000000001,1.0,0.25999999999999995
glass,motor,MSC01,MSC05,0.5750000000000001,1.0,0.14999999999999997
glass,mem,MSC01,MSC05,0.575,1.0,0.15
semantic,glass,MSC01,MSC05,0.51,1.0,0.02
semantic,motor,MSC01,MSC05,0.5149999999999999,1.0,0.030000000000000006
semantic,mem,MSC01,MSC05,0.5299999999999999,1.0,0.06
motor,glass,MSC01,MSC05,0.7,1.0,0.4
motor,semantic,MSC01,MSC05,0.8149999999999998,1.0,0.63
motor,mem,MSC01,MSC05,0.8099999999999999,1.0,0.6199999999999999
mem,glass,MSC01,MSC05,0.635,1.0,0.27
mem,semantic,MSC01,MSC05,0.915,1.0,0.8300000000000001
mem,motor,MSC01,MSC05,0.8450000000000001,1.0,0.6900000000000001
glass,semantic,MSC01,MSC06,0.5349999999999999,1.0,0.06999999999999999
glass,motor,MSC01,MSC06,0.5449999999999999,1.0,0.09
glass,mem,MSC01,MSC06,0.5,1.0,0.0
semantic,glass,MSC01,MSC06,0.5,1.0,0.0
semantic,motor,MSC01,MSC06,0.5449999999999999,1.0,0.09
semantic,mem,MSC01,MSC06,0.5,1.0,0.0
motor,glass,MSC01,MSC06,0.5111111111111111,1.0,0.02222222222222222
motor,semantic,MSC01,MSC06,0.5700000000000001,1.0,0.14
motor,mem,MSC01,MSC06,0.5449999999999999,1.0,0.09
mem,glass,MSC01,MSC06,0.6277777777777779,1.0,0.2555555555555556
mem,semantic,MSC01,MSC06,0.7100000000000001,1.0,0.42000000000000004
mem,motor,MSC01,MSC06,0.8300000000000001,1.0,0.6599999999999999
glass,semantic,MSC01,MSC07,0.95,1.0,0.9
glass,motor,MSC01,MSC07,0.745,1.0,0.49000000000000005
glass,mem,MSC01,MSC07,0.645,1.0,0.29
semantic,glass,MSC01,MSC07,0.9400000000000001,1.0,0.8800000000000001
semantic,motor,MSC01,MSC07,0.7299999999999999,1.0,0.4600000000000001
semantic,mem,MSC01,MSC07,0.78,1.0,0.56
motor,glass,MSC01,MSC07,0.9550000000000001,0.9400000000000001,0.97
motor,semantic,MSC01,MSC07,0.9349999999999999,0.9400000000000001,0.93
motor,mem,MSC01,MSC07,0.74,0.9400000000000001,0.54
mem,glass,MSC01,MSC07,0.7300000000000001,0.45999999999999996,1.0
mem,semantic,MSC01,MSC07,0.7300000000000001,0.45999999999999996,1.0
mem,motor,MSC01,MSC07,0.7300000000000001,0.45999999999999996,1.0
glass,semantic,MSC01,MSC10,0.6500000000000001,1.0,0.3
glass,motor,MSC01,MSC10,0.68,1.0,0.36
glass,mem,MSC01,MSC10,0.5700000000000001,1.0,0.14
semantic,glass,MSC01,MSC10,0.525,1.0,0.05
semantic,motor,MSC01,MSC10,0.6150000000000001,1.0,0.23000000000000004
semantic,mem,MSC01,MSC10,0.5449999999999999,1.0,0.09
motor,glass,MSC01,MSC10,0.7449999999999999,1.0,0.48999999999999994
motor,semantic,MSC01,MSC10,0.7649999999999999,1.0,0.53
motor,mem,MSC01,MSC10,0.8600000000000001,1.0,0.72
mem,glass,MSC01,MSC10,0.7949999999999999,0.89,0.7
mem,semantic,MSC01,MSC10,0.89,0.89,0.8900000000000002
mem,motor,MSC01,MSC10,0.8150000000000001,0.89,0.74
glass,semantic,MSC02,MSC01,0.5,1.0,0.0
glass,motor,MSC02,MSC01,0.5,1.0,0.0
glass,mem,MSC02,MSC01,0.5,1.0,0.0
semantic,glass,MSC02,MSC01,0.5,1.0,0.0
semantic,motor,MSC02,MSC01,0.5,1.0,0.0
semantic,mem,MSC02,MSC01,0.5,1.0,0.0
motor,glass,MSC02,MSC01,0.5,1.0,0.0
motor,semantic,MSC02,MSC01,0.5,1.0,0.0
motor,mem,MSC02,MSC01,0.5,1.0,0.0
mem,glass,MSC02,MSC01,0.95,0.95,0.95
mem,semantic,MSC02,MSC01,0.9650000000000001,0.95,0.9800000000000001
mem,motor,MSC02,MSC01,0.975,0.95,1.0
glass,semantic,MSC02,MSC03,0.5,1.0,0.0
glass,motor,MSC02,MSC03,0.5,1.0,0.0
glass,mem,MSC02,MSC03,0.5,1.0,0.0
semantic,glass,MSC02,MSC03,0.5,1.0,0.0
semantic,motor,MSC02,MSC03,0.5,1.0,0.0
semantic,mem,MSC02,MSC03,0.5,1.0,0.0
motor,glass,MSC02,MSC03,0.5149999999999999,1.0,0.030000000000000006
motor,semantic,MSC02,MSC03,0.5399999999999999,1.0,0.07999999999999999
motor,mem,MSC02,MSC03,0.5,1.0,0.0
mem,glass,MSC02,MSC03,0.63,0.5700000000000001,0.6900000000000001
mem,semantic,MSC02,MSC03,0.73,0.5700000000000001,0.8900000000000002
mem,motor,MSC02,MSC03,0.7799999999999999,0.5700000000000001,0.99
glass,semantic,MSC02,MSC04,0.5,1.0,0.0
glass,motor,MSC02,MSC04,0.5,1.0,0.0
glass,mem,MSC02,MSC04,0.5,1.0,0.0
semantic,glass,MSC02,MSC04,0.5,1.0,0.0
semantic,motor,MSC02,MSC04,0.5,1.0,0.0
semantic,mem,MSC02,MSC04,0.5,1.0,0.0
motor,glass,MSC02,MSC04,0.5,1.0,0.0
motor,semantic,MSC02,MSC04,0.5,1.0,0.0
motor,mem,MSC02,MSC04,0.5,1.0,0.0
mem,glass,MSC02,MSC04,0.9850000000000001,0.97,1.0
mem,semantic,MSC02,MSC04,0.915,0.97,0.86
mem,motor,MSC02,MSC04,0.9850000000000001,0.97,1.0
glass,semantic,MSC02,MSC05,0.52,1.0,0.04
glass,motor,MSC02,MSC05,0.505,1.0,0.01
glass,mem,MSC02,MSC05,0.5,1.0,0.0
semantic,glass,MSC02,MSC05,0.5,1.0,0.0
semantic,motor,MSC02,MSC05,0.5,1.0,0.0
semantic,mem,MSC02,MSC05,0.5,1.0,0.0
motor,glass,MSC02,MSC05,0.51,1.0,0.02
motor,semantic,MSC02,MSC05,0.51,1.0,0.02
motor,mem,MSC02,MSC05,0.5,1.0,0.0
mem,glass,MSC02,MSC05,0.93,0.9199999999999999,0.9400000000000001
mem,semantic,MSC02,MSC05,0.9099999999999999,0.9199999999999999,0.9000000000000001
mem,motor,MSC02,MSC05,0.8949999999999999,0.9199999999999999,0.8700000000000001
glass,semantic,MSC02,MSC06,0.505,1.0,0.01
glass,motor,MSC02,MSC06,0.5,1.0,0.0
glass,mem,MSC02,MSC06,0.5,1.0,0.0
semantic,glass,MSC02,MSC06,0.5,1.0,0.0
semantic,motor,MSC02,MSC06,0.5,1.0,0.0
semantic,mem,MSC02,MSC06,0.5,1.0,0.0
motor,glass,MSC02,MSC06,0.5,1.0,0.0
motor,semantic,MSC02,MSC06,0.5,1.0,0.0
motor,mem,MSC02,MSC06,0.5,1.0,0.0
mem,glass,MSC02,MSC06,0.8444444444444443,1.0,0.6888888888888889
mem,semantic,MSC02,MSC06,0.95,1.0,0.9000000000000001
mem,motor,MSC02,MSC06,0.985,1.0,0.9700000000000001
glass,semantic,MSC02,MSC07,0.5599999999999999,1.0,0.12
glass,motor,MSC02,MSC07,0.5499999999999999,1.0,0.09999999999999999
glass,mem,MSC02,MSC07,0.5,1.0,0.0
semantic,glass,MSC02,MSC07,0.5549999999999999,0.99,0.12
semantic,motor,MSC02,MSC07,0.5,0.99,0.01
semantic,mem,MSC02,MSC07,0.5449999999999999,0.99,0.09999999999999999
motor,glass,MSC02,MSC07,0.5,1.0,0.0
