,test_task,train_task,Mean,Std
0,glass,mem,0.7649206349206351,0.1310995727062626
1,glass,motor,0.6054761904761905,0.09848615235752115
2,glass,semantic,0.5550396825396825,0.08703179090347368
3,mem,glass,0.5710416666666667,0.11492529474669637
4,mem,motor,0.6201785714285712,0.11463762782911079
5,mem,semantic,0.5624107142857144,0.09559379530753398
6,motor,glass,0.5847817460317462,0.10233588753935349
7,motor,mem,0.8210714285714286,0.12139235517982132
8,motor,semantic,0.5530357142857142,0.08580993040344546
9,semantic,glass,0.5778373015873016,0.09411431777367785
10,semantic,mem,0.7908035714285713,0.11803611460332532
11,semantic,motor,0.6165178571428573,0.11639634344013457
