,test_task,train_task,Mean,Std
0,glass,mem,0.7202083333333333,0.11657968696431815
1,glass,motor,0.6238194444444444,0.1189305806960151
2,glass,semantic,0.7485416666666667,0.08096362842032291
3,mem,glass,0.7052777777777778,0.12152071408042858
4,mem,motor,0.63625,0.10343217239193175
5,mem,semantic,0.6168750000000001,0.08344962124368384
6,motor,glass,0.7370833333333332,0.14343227482096724
7,motor,mem,0.79875,0.10930788757319522
8,motor,semantic,0.6525,0.08904252595569956
9,semantic,glass,0.8289583333333334,0.09367682329275592
10,semantic,mem,0.726875,0.11689242612639308
11,semantic,motor,0.6356250000000001,0.13880709893332438
