,test_task,train_task,Mean,Std
0,glass,mem,0.5354464285714285,0.09557560393647048
1,glass,motor,0.5538988095238093,0.10496119164550016
2,glass,semantic,0.5641071428571429,0.09690292031723965
3,mem,glass,0.5293749999999999,0.07659358707730853
4,mem,motor,0.522142857142857,0.0787738832058232
5,mem,semantic,0.5309821428571427,0.06171355857255609
6,motor,glass,0.5280952380952381,0.11583279955998702
7,motor,mem,0.5332142857142858,0.10546618834070418
8,motor,semantic,0.5443750000000002,0.10371754695062232
9,semantic,glass,0.5527380952380953,0.11169291400371098
10,semantic,mem,0.5558928571428572,0.10713673142661773
11,semantic,motor,0.5512499999999999,0.09611664315252111
