,MSC05,train,test
0,0.95,motor,mem
1,0.8,motor,mem
2,0.75,motor,mem
3,0.75,motor,mem
4,0.75,motor,mem
5,0.75,motor,mem
6,0.8,motor,mem
7,0.8,motor,mem
8,0.75,motor,mem
9,0.8,motor,mem
