,MSC03,train,test
0,0.9,mem,motor
1,0.8,mem,motor
2,0.85,mem,motor
3,0.85,mem,motor
4,0.85,mem,motor
5,0.95,mem,motor
6,0.9,mem,motor
7,0.9,mem,motor
8,0.9,mem,motor
9,0.85,mem,motor
