,MSC03,train,test
0,0.65,mem,mixed
1,0.6,mem,mixed
2,0.65,mem,mixed
3,0.55,mem,mixed
4,0.65,mem,mixed
5,0.65,mem,mixed
6,0.65,mem,mixed
7,0.65,mem,mixed
8,0.65,mem,mixed
9,0.65,mem,mixed
