,train_sub,test_sub,task,acc
129,MSC05,MSC06,glass,0.611111111111111
130,MSC05,MSC06,motor,0.505
131,MSC05,MSC06,mem,0.9650000000000001
132,MSC05,MSC07,semantic,0.7899999999999999
133,MSC05,MSC07,glass,0.605
134,MSC05,MSC07,motor,0.6900000000000001
135,MSC05,MSC07,mem,0.515
136,MSC05,MSC10,semantic,0.6400000000000001
137,MSC05,MSC10,glass,0.5799999999999998
138,MSC05,MSC10,motor,0.605
139,MSC05,MSC10,mem,0.8099999999999999
140,MSC06,MSC01,semantic,0.865
141,MSC06,MSC01,glass,0.5611111111111111
142,MSC06,MSC01,motor,0.755
143,MSC06,MSC01,mem,0.975
144,MSC06,MSC02,semantic,0.8400000000000001
145,MSC06,MSC02,glass,0.5
146,MSC06,MSC02,motor,0.65
147,MSC06,MSC02,mem,0.7249999999999999
148,MSC06,MSC03,semantic,0.7499999999999999
149,MSC06,MSC03,glass,0.5611111111111111
150,MSC06,MSC03,motor,0.68
151,MSC06,MSC03,mem,0.9
152,MSC06,MSC04,semantic,0.765
153,MSC06,MSC04,glass,0.7666666666666668
154,MSC06,MSC04,motor,0.7899999999999999
155,MSC06,MSC04,mem,0.885
156,MSC06,MSC05,semantic,0.635
157,MSC06,MSC05,glass,0.8333333333333333
158,MSC06,MSC05,motor,0.9000000000000001
159,MSC06,MSC05,mem,0.9299999999999999
160,MSC06,MSC07,semantic,0.825
161,MSC06,MSC07,glass,0.5111111111111111
162,MSC06,MSC07,motor,0.78
163,MSC06,MSC07,mem,0.7350000000000001
164,MSC06,MSC10,semantic,0.5949999999999999
165,MSC06,MSC10,glass,0.5277777777777778
166,MSC06,MSC10,motor,0.9200000000000002
167,MSC06,MSC10,mem,0.95
168,MSC07,MSC01,semantic,0.6400000000000001
169,MSC07,MSC01,glass,0.5499999999999999
170,MSC07,MSC01,motor,0.5799999999999998
171,MSC07,MSC01,mem,0.9949999999999999
172,MSC07,MSC02,semantic,0.745
173,MSC07,MSC02,glass,0.5399999999999999
174,MSC07,MSC02,motor,0.5849999999999999
175,MSC07,MSC02,mem,0.7949999999999999
176,MSC07,MSC03,semantic,0.5
177,MSC07,MSC03,glass,0.5
178,MSC07,MSC03,motor,0.6699999999999999
179,MSC07,MSC03,mem,0.68
180,MSC07,MSC04,semantic,0.5
181,MSC07,MSC04,glass,0.5
182,MSC07,MSC04,motor,0.53
183,MSC07,MSC04,mem,0.975
184,MSC07,MSC05,semantic,0.5
185,MSC07,MSC05,glass,0.5
186,MSC07,MSC05,motor,0.6900000000000001
187,MSC07,MSC05,mem,0.8
188,MSC07,MSC06,semantic,0.5149999999999999
189,MSC07,MSC06,glass,0.5
190,MSC07,MSC06,motor,0.695
191,MSC07,MSC06,mem,0.8099999999999999
192,MSC07,MSC10,semantic,0.5
193,MSC07,MSC10,glass,0.5
194,MSC07,MSC10,motor,0.655
195,MSC07,MSC10,mem,0.8600000000000001
196,MSC10,MSC01,semantic,0.6649999999999999
197,MSC10,MSC01,glass,0.5
198,MSC10,MSC01,motor,0.9299999999999999
199,MSC10,MSC01,mem,0.6849999999999999
200,MSC10,MSC02,semantic,0.8149999999999998
201,MSC10,MSC02,glass,0.48500000000000004
202,MSC10,MSC02,motor,0.9
203,MSC10,MSC02,mem,0.585
204,MSC10,MSC03,semantic,0.76
205,MSC10,MSC03,glass,0.595
206,MSC10,MSC03,motor,0.9800000000000001
207,MSC10,MSC03,mem,0.8649999999999999
208,MSC10,MSC04,semantic,0.675
209,MSC10,MSC04,glass,0.73
210,MSC10,MSC04,motor,1.0
211,MSC10,MSC04,mem,0.82
212,MSC10,MSC05,semantic,0.7100000000000001
213,MSC10,MSC05,glass,0.6950000000000001
214,MSC10,MSC05,motor,0.9
215,MSC10,MSC05,mem,0.82
216,MSC10,MSC06,semantic,0.6849999999999999
217,MSC10,MSC06,glass,0.6166666666666668
218,MSC10,MSC06,motor,0.6449999999999999
219,MSC10,MSC06,mem,0.9400000000000001
220,MSC10,MSC07,semantic,0.645
221,MSC10,MSC07,glass,0.5
222,MSC10,MSC07,motor,0.86
223,MSC10,MSC07,mem,0.7949999999999999
