train,task,same_subT,same_subR,diff_subT,diff_subR
MSC01,semantic,0.9,1.0,0.42142857142857143,1.0
MSC02,semantic,0.7,1.0,0.43714285714285717,0.99
MSC03,semantic,0.8,1.0,0.13999999999999999,1.0
MSC04,semantic,0.9,1.0,0.5371428571428571,1.0
MSC05,semantic,0.9,1.0,0.6242857142857143,1.0
MSC06,semantic,0.9,1.0,0.8285714285714285,0.9857142857142858
MSC07,semantic,1.0,1.0,0.2757142857142857,1.0
MSC10,semantic,0.8,1.0,0.3742857142857143,1.0
MSC01,glass,0.8,1.0,0.19420289855072465,1.0
MSC02,glass,0.8,1.0,0.2898550724637681,0.9957142857142858
MSC03,glass,0.8,1.0,0.19710144927536233,1.0
MSC04,glass,0.9,1.0,0.38550724637681155,0.9828571428571429
MSC05,glass,0.9,1.0,0.5159420289855072,0.9614285714285714
MSC06,glass,0.6666666666666666,1.0,0.273015873015873,1.0
MSC07,glass,0.9,1.0,0.07246376811594203,1.0
MSC10,glass,0.7,1.0,0.04782608695652174,1.0
MSC01,motor,1.0,1.0,0.836764705882353,0.9814285714285714
MSC02,motor,0.9,1.0,0.6823529411764706,1.0
MSC03,motor,0.9,1.0,0.8632352941176471,1.0
MSC04,motor,1.0,1.0,0.9470588235294118,0.9914285714285714
MSC05,motor,1.0,1.0,0.9235294117647059,0.9428571428571428
MSC06,motor,1.0,1.0,0.822866344605475,1.0
MSC07,motor,0.8888888888888888,1.0,0.6682769726247987,0.9984126984126984
MSC10,motor,0.9,1.0,0.638235294117647,0.9957142857142858
MSC01,mem,1.0,1.0,0.7852941176470588,0.9985714285714286
MSC02,mem,1.0,1.0,0.9588235294117647,0.9885714285714285
MSC03,mem,0.875,1.0,0.7035714285714285,1.0
MSC04,mem,1.0,1.0,0.9264705882352942,0.9871428571428571
MSC05,mem,1.0,1.0,0.9029411764705882,0.9171428571428571
MSC06,mem,1.0,1.0,0.9147058823529411,0.9957142857142858
MSC07,mem,1.0,1.0,0.8661764705882353,0.9785714285714286
MSC10,mem,0.9,1.0,0.7970588235294117,0.9842857142857143
