train_sub,test_sub,task,acc,spec,sen
MSC04,MSC02,motor,0.99,1.0,0.9800000000000001
MSC04,MSC02,mem,0.925,1.0,0.85
MSC04,MSC03,glass,0.615,1.0,0.23000000000000004
MSC04,MSC03,semantic,0.82,1.0,0.64
MSC04,MSC03,motor,0.97,0.9400000000000001,1.0
MSC04,MSC03,mem,0.985,0.9800000000000001,0.99
MSC04,MSC05,glass,0.5849999999999999,1.0,0.16999999999999998
MSC04,MSC05,semantic,0.5549999999999999,1.0,0.11000000000000001
MSC04,MSC05,motor,0.9550000000000001,1.0,0.9100000000000001
MSC04,MSC05,mem,0.875,1.0,0.7499999999999999
MSC04,MSC06,glass,0.8333333333333333,1.0,0.6666666666666666
MSC04,MSC06,semantic,0.66,1.0,0.31999999999999995
MSC04,MSC06,motor,0.89,1.0,0.7800000000000001
MSC04,MSC06,mem,0.9800000000000001,1.0,0.9600000000000002
MSC04,MSC07,glass,0.73,0.8900000000000002,0.57
MSC04,MSC07,semantic,0.9299999999999999,1.0,0.86
MSC04,MSC07,motor,0.9850000000000001,1.0,0.97
MSC04,MSC07,mem,0.95,0.9400000000000001,0.96
MSC04,MSC10,glass,0.7849999999999999,0.99,0.5799999999999998
MSC04,MSC10,semantic,0.72,1.0,0.44000000000000006
MSC04,MSC10,motor,0.97,1.0,0.9400000000000001
MSC04,MSC10,mem,0.9949999999999999,0.99,1.0
MSC05,MSC01,glass,0.7499999999999999,1.0,0.5000000000000001
MSC05,MSC01,semantic,0.9400000000000001,1.0,0.8800000000000001
MSC05,MSC01,motor,0.9100000000000001,1.0,0.8200000000000001
MSC05,MSC01,mem,1.0,1.0,1.0
MSC05,MSC02,glass,0.7849999999999999,0.78,0.7899999999999999
MSC05,MSC02,semantic,0.8399999999999999,1.0,0.6799999999999999
MSC05,MSC02,motor,0.8949999999999999,0.79,1.0
MSC05,MSC02,mem,0.7999999999999999,0.5999999999999999,1.0
MSC05,MSC03,glass,0.8800000000000001,1.0,0.76
MSC05,MSC03,semantic,0.95,1.0,0.9
MSC05,MSC03,motor,0.9800000000000001,1.0,0.9600000000000002
MSC05,MSC03,mem,0.9400000000000001,0.99,0.8900000000000002
MSC05,MSC04,glass,0.76,1.0,0.52
MSC05,MSC04,semantic,0.7000000000000001,1.0,0.39999999999999997
MSC05,MSC04,motor,0.95,1.0,0.9000000000000001
MSC05,MSC04,mem,0.825,1.0,0.6500000000000001
MSC05,MSC06,glass,0.6666666666666667,1.0,0.33333333333333337
MSC05,MSC06,semantic,0.77,1.0,0.54
MSC05,MSC06,motor,0.9000000000000001,1.0,0.7999999999999999
MSC05,MSC06,mem,1.0,1.0,1.0
MSC05,MSC07,glass,0.645,1.0,0.29
MSC05,MSC07,semantic,0.8399999999999999,1.0,0.6799999999999999
MSC05,MSC07,motor,0.9000000000000001,0.9000000000000001,0.9000000000000001
MSC05,MSC07,mem,0.905,0.93,0.8800000000000002
MSC05,MSC10,glass,0.675,0.95,0.4
MSC05,MSC10,semantic,0.6449999999999999,1.0,0.29000000000000004
MSC05,MSC10,motor,0.905,0.9100000000000001,0.9000000000000001
MSC05,MSC10,mem,0.9000000000000001,0.9000000000000001,0.9000000000000001
MSC06,MSC01,glass,0.6222222222222222,1.0,0.2444444444444444
MSC06,MSC01,semantic,0.945,1.0,0.8900000000000002
MSC06,MSC01,motor,0.9,0.8,1.0
MSC06,MSC01,mem,1.0,1.0,1.0
MSC06,MSC02,glass,0.5222222222222221,1.0,0.044444444444444446
MSC06,MSC02,semantic,0.795,0.99,0.6
MSC06,MSC02,motor,0.9400000000000001,0.97,0.9099999999999999
MSC06,MSC02,mem,0.8800000000000002,1.0,0.76
MSC06,MSC03,glass,0.5,1.0,0.0
MSC06,MSC03,semantic,0.9199999999999999,0.9700000000000001,0.8700000000000001
MSC06,MSC03,motor,0.8949999999999999,0.8,0.99
MSC06,MSC03,mem,0.9799999999999999,1.0,0.96
MSC06,MSC04,glass,0.8111111111111111,1.0,0.6222222222222222
MSC06,MSC04,semantic,0.93,1.0,0.8600000000000001
MSC06,MSC04,motor,0.9399999999999998,0.8800000000000001,1.0
MSC06,MSC04,mem,0.9199999999999999,1.0,0.8400000000000001
MSC06,MSC05,glass,0.5944444444444444,1.0,0.1888888888888889
MSC06,MSC05,semantic,0.885,1.0,0.7700000000000001
MSC06,MSC05,motor,0.915,1.0,0.8300000000000001
MSC06,MSC05,mem,0.9400000000000001,1.0,0.8800000000000001
MSC06,MSC07,glass,0.6888888888888888,1.0,0.3777777777777778
MSC06,MSC07,semantic,0.95,0.95,0.95
MSC06,MSC07,motor,0.8600000000000001,0.72,1.0
MSC06,MSC07,mem,0.9800000000000001,0.97,0.99
MSC06,MSC10,glass,0.7166666666666667,1.0,0.43333333333333335
MSC06,MSC10,semantic,0.925,0.99,0.8600000000000001
MSC06,MSC10,motor,0.82,0.65,0.99
MSC06,MSC10,mem,0.9949999999999999,1.0,0.99
MSC07,MSC01,glass,0.7050000000000001,1.0,0.41
MSC07,MSC01,semantic,0.9400000000000001,1.0,0.8800000000000001
MSC07,MSC01,motor,0.6649999999999999,0.33999999999999997,0.99
MSC07,MSC01,mem,1.0,1.0,1.0
MSC07,MSC02,glass,0.5399999999999999,1.0,0.07999999999999999
MSC07,MSC02,semantic,0.7250000000000001,1.0,0.45
MSC07,MSC02,motor,0.6799999999999999,0.39,0.97
MSC07,MSC02,mem,0.95,1.0,0.9000000000000001
MSC07,MSC03,glass,0.5,1.0,0.0
MSC07,MSC03,semantic,0.6,1.0,0.20000000000000004
MSC07,MSC03,motor,0.86,0.8099999999999999,0.9100000000000001
MSC07,MSC03,mem,0.9349999999999999,0.9500000000000002,0.9200000000000002
MSC07,MSC04,glass,0.5,1.0,0.0
MSC07,MSC04,semantic,0.6500000000000001,1.0,0.29999999999999993
MSC07,MSC04,motor,0.945,0.89,1.0
MSC07,MSC04,mem,0.89,1.0,0.7799999999999999
MSC07,MSC05,glass,0.5,1.0,0.0
MSC07,MSC05,semantic,0.5,1.0,0.0
MSC07,MSC05,motor,0.9199999999999999,0.89,0.95
MSC07,MSC05,mem,0.8950000000000001,1.0,0.7899999999999999
MSC07,MSC06,glass,0.5,1.0,0.0
MSC07,MSC06,semantic,0.5499999999999999,1.0,0.09999999999999999
MSC07,MSC06,motor,0.9,0.8300000000000001,0.97
MSC07,MSC06,mem,0.8600000000000001,1.0,0.72
MSC07,MSC10,glass,0.505,1.0,0.01
MSC07,MSC10,semantic,0.5,1.0,0.0
MSC07,MSC10,motor,0.93,0.8800000000000001,0.9800000000000001
MSC07,MSC10,mem,0.9400000000000001,0.9000000000000001,0.9800000000000001
MSC10,MSC01,glass,0.5149999999999999,1.0,0.030000000000000006
MSC10,MSC01,semantic,0.9099999999999999,1.0,0.8200000000000001
MSC10,MSC01,motor,0.8099999999999999,1.0,0.6199999999999999
MSC10,MSC01,mem,0.975,1.0,0.95
MSC10,MSC02,glass,0.5,1.0,0.0
MSC10,MSC02,semantic,0.5899999999999999,1.0,0.18
MSC10,MSC02,motor,0.85,1.0,0.7
MSC10,MSC02,mem,0.9549999999999998,1.0,0.9100000000000001
MSC10,MSC03,glass,0.5,1.0,0.0
MSC10,MSC03,semantic,0.745,1.0,0.48999999999999994
MSC10,MSC03,motor,0.875,0.9700000000000001,0.78
MSC10,MSC03,mem,0.985,0.9700000000000001,1.0
MSC10,MSC04,glass,0.605,1.0,0.21000000000000002
MSC10,MSC04,semantic,0.725,1.0,0.45000000000000007
MSC10,MSC04,motor,0.885,1.0,0.7699999999999999
MSC10,MSC04,mem,0.9400000000000001,0.9199999999999999,0.96
MSC10,MSC05,glass,0.505,1.0,0.01
MSC10,MSC05,semantic,0.6599999999999999,1.0,0.32
MSC10,MSC05,motor,0.7899999999999999,1.0,0.5799999999999998
MSC10,MSC05,mem,0.905,1.0,0.8099999999999999
MSC10,MSC06,glass,0.5444444444444444,1.0,0.0888888888888889
MSC10,MSC06,semantic,0.5599999999999999,1.0,0.12
MSC10,MSC06,motor,0.635,1.0,0.26999999999999996
MSC10,MSC06,mem,0.8249999999999998,1.0,0.65
MSC10,MSC07,glass,0.5,1.0,0.0
MSC10,MSC07,semantic,0.62,1.0,0.24
MSC10,MSC07,motor,0.9099999999999999,1.0,0.82
MSC10,MSC07,mem,0.67,1.0,0.33999999999999997
