acc,train,test,train_task,test_task
0.65,MSC05,MSC02,mixed,motor
0.65,MSC05,MSC02,mixed,motor
0.65,MSC05,MSC02,mixed,motor
0.6,MSC05,MSC02,mixed,motor
0.6,MSC05,MSC02,mem,mixed
0.65,MSC05,MSC02,mem,mixed
0.75,MSC05,MSC02,mem,mixed
0.85,MSC05,MSC02,mem,mixed
0.75,MSC05,MSC02,mem,mixed
0.8,MSC05,MSC02,mem,mixed
0.8,MSC05,MSC02,mem,mixed
0.85,MSC05,MSC02,mem,mixed
0.8,MSC05,MSC02,mem,mixed
0.8,MSC05,MSC02,mem,mixed
0.55,MSC05,MSC02,mem,motor
0.65,MSC05,MSC02,mem,motor
0.75,MSC05,MSC02,mem,motor
0.75,MSC05,MSC02,mem,motor
0.7,MSC05,MSC02,mem,motor
0.75,MSC05,MSC02,mem,motor
0.75,MSC05,MSC02,mem,motor
0.75,MSC05,MSC02,mem,motor
0.75,MSC05,MSC02,mem,motor
0.7,MSC05,MSC02,mem,motor
0.5,MSC05,MSC02,motor,mixed
0.55,MSC05,MSC02,motor,mixed
0.5,MSC05,MSC02,motor,mixed
0.6,MSC05,MSC02,motor,mixed
0.6,MSC05,MSC02,motor,mixed
0.6,MSC05,MSC02,motor,mixed
0.6,MSC05,MSC02,motor,mixed
0.55,MSC05,MSC02,motor,mixed
0.6,MSC05,MSC02,motor,mixed
0.65,MSC05,MSC02,motor,mixed
0.5,MSC05,MSC02,motor,mem
0.55,MSC05,MSC02,motor,mem
0.5,MSC05,MSC02,motor,mem
0.55,MSC05,MSC02,motor,mem
0.6,MSC05,MSC02,motor,mem
0.6,MSC05,MSC02,motor,mem
0.6,MSC05,MSC02,motor,mem
0.55,MSC05,MSC02,motor,mem
0.55,MSC05,MSC02,motor,mem
0.6,MSC05,MSC02,motor,mem
0.5,MSC05,MSC03,mixed,mem
0.5625,MSC05,MSC03,mixed,mem
0.5,MSC05,MSC03,mixed,mem
0.5625,MSC05,MSC03,mixed,mem
0.5625,MSC05,MSC03,mixed,mem
0.5,MSC05,MSC03,mixed,mem
0.4375,MSC05,MSC03,mixed,mem
0.5,MSC05,MSC03,mixed,mem
0.5625,MSC05,MSC03,mixed,mem
0.5,MSC05,MSC03,mixed,mem
0.5,MSC05,MSC03,mixed,motor
0.55,MSC05,MSC03,mixed,motor
0.5,MSC05,MSC03,mixed,motor
0.5,MSC05,MSC03,mixed,motor
0.55,MSC05,MSC03,mixed,motor
0.5,MSC05,MSC03,mixed,motor
0.4,MSC05,MSC03,mixed,motor
0.5,MSC05,MSC03,mixed,motor
0.55,MSC05,MSC03,mixed,motor
0.5,MSC05,MSC03,mixed,motor
0.5,MSC05,MSC03,mem,mixed
0.6,MSC05,MSC03,mem,mixed
0.6,MSC05,MSC03,mem,mixed
0.65,MSC05,MSC03,mem,mixed
0.5,MSC05,MSC03,mem,mixed
0.55,MSC05,MSC03,mem,mixed
0.6,MSC05,MSC03,mem,mixed
0.65,MSC05,MSC03,mem,mixed
0.65,MSC05,MSC03,mem,mixed
0.6,MSC05,MSC03,mem,mixed
0.55,MSC05,MSC03,mem,motor
0.7,MSC05,MSC03,mem,motor
0.7,MSC05,MSC03,mem,motor
0.75,MSC05,MSC03,mem,motor
0.6,MSC05,MSC03,mem,motor
0.6,MSC05,MSC03,mem,motor
0.75,MSC05,MSC03,mem,motor
0.7,MSC05,MSC03,mem,motor
0.75,MSC05,MSC03,mem,motor
0.65,MSC05,MSC03,mem,motor
0.6,MSC05,MSC03,motor,mixed
0.65,MSC05,MSC03,motor,mixed
0.6,MSC05,MSC03,motor,mixed
0.6,MSC05,MSC03,motor,mixed
0.65,MSC05,MSC03,motor,mixed
0.7,MSC05,MSC03,motor,mixed
0.7,MSC05,MSC03,motor,mixed
0.65,MSC05,MSC03,motor,mixed
0.7,MSC05,MSC03,motor,mixed
0.65,MSC05,MSC03,motor,mixed
0.625,MSC05,MSC03,motor,mem
0.6875,MSC05,MSC03,motor,mem
0.6875,MSC05,MSC03,motor,mem
0.625,MSC05,MSC03,motor,mem
0.75,MSC05,MSC03,motor,mem
0.75,MSC05,MSC03,motor,mem
0.75,MSC05,MSC03,motor,mem
0.8125,MSC05,MSC03,motor,mem
0.5625,MSC05,MSC03,motor,mem
0.5625,MSC05,MSC03,motor,mem
0.6,MSC05,MSC04,mixed,mem
0.6,MSC05,MSC04,mixed,mem
0.65,MSC05,MSC04,mixed,mem
0.65,MSC05,MSC04,mixed,mem
0.6,MSC05,MSC04,mixed,mem
0.65,MSC05,MSC04,mixed,mem
0.65,MSC05,MSC04,mixed,mem
0.65,MSC05,MSC04,mixed,mem
0.55,MSC05,MSC04,mixed,mem
0.7,MSC05,MSC04,mixed,mem
0.65,MSC05,MSC04,mixed,motor
0.65,MSC05,MSC04,mixed,motor
0.65,MSC05,MSC04,mixed,motor
0.65,MSC05,MSC04,mixed,motor
0.6,MSC05,MSC04,mixed,motor
0.65,MSC05,MSC04,mixed,motor
0.65,MSC05,MSC04,mixed,motor
0.65,MSC05,MSC04,mixed,motor
0.55,MSC05,MSC04,mixed,motor
0.65,MSC05,MSC04,mixed,motor
0.8,MSC05,MSC04,mem,mixed
0.8,MSC05,MSC04,mem,mixed
0.75,MSC05,MSC04,mem,mixed
0.7,MSC05,MSC04,mem,mixed
0.8,MSC05,MSC04,mem,mixed
0.7,MSC05,MSC04,mem,mixed
0.8,MSC05,MSC04,mem,mixed
0.8,MSC05,MSC04,mem,mixed
0.7,MSC05,MSC04,mem,mixed
0.7,MSC05,MSC04,mem,mixed
0.7,MSC05,MSC04,mem,motor
0.7,MSC05,MSC04,mem,motor
0.65,MSC05,MSC04,mem,motor
0.65,MSC05,MSC04,mem,motor
0.65,MSC05,MSC04,mem,motor
0.6,MSC05,MSC04,mem,motor
0.7,MSC05,MSC04,mem,motor
0.65,MSC05,MSC04,mem,motor
0.65,MSC05,MSC04,mem,motor
0.65,MSC05,MSC04,mem,motor
0.8,MSC05,MSC04,motor,mixed
0.55,MSC05,MSC04,motor,mixed
0.75,MSC05,MSC04,motor,mixed
0.6,MSC05,MSC04,motor,mixed
0.85,MSC05,MSC04,motor,mixed
0.7,MSC05,MSC04,motor,mixed
0.75,MSC05,MSC04,motor,mixed
0.75,MSC05,MSC04,motor,mixed
0.65,MSC05,MSC04,motor,mixed
0.65,MSC05,MSC04,motor,mixed
0.65,MSC05,MSC04,motor,mem
0.7,MSC05,MSC04,motor,mem
0.7,MSC05,MSC04,motor,mem
0.75,MSC05,MSC04,motor,mem
0.8,MSC05,MSC04,motor,mem
0.8,MSC05,MSC04,motor,mem
0.75,MSC05,MSC04,motor,mem
0.8,MSC05,MSC04,motor,mem
0.75,MSC05,MSC04,motor,mem
0.75,MSC05,MSC04,motor,mem
0.65,MSC05,MSC06,mixed,mem
0.6,MSC05,MSC06,mixed,mem
0.65,MSC05,MSC06,mixed,mem
0.75,MSC05,MSC06,mixed,mem
0.75,MSC05,MSC06,mixed,mem
0.65,MSC05,MSC06,mixed,mem
0.5,MSC05,MSC06,mixed,mem
0.7,MSC05,MSC06,mixed,mem
0.6,MSC05,MSC06,mixed,mem
0.7,MSC05,MSC06,mixed,mem
0.5555555555555556,MSC05,MSC06,mixed,motor
0.6111111111111112,MSC05,MSC06,mixed,motor
0.6111111111111112,MSC05,MSC06,mixed,motor
0.6666666666666666,MSC05,MSC06,mixed,motor
0.6111111111111112,MSC05,MSC06,mixed,motor
0.5555555555555556,MSC05,MSC06,mixed,motor
0.5555555555555556,MSC05,MSC06,mixed,motor
0.5,MSC05,MSC06,mixed,motor
0.5555555555555556,MSC05,MSC06,mixed,motor
0.6111111111111112,MSC05,MSC06,mixed,motor
0.7,MSC05,MSC06,mem,mixed
0.65,MSC05,MSC06,mem,mixed
0.65,MSC05,MSC06,mem,mixed
0.7,MSC05,MSC06,mem,mixed
0.7,MSC05,MSC06,mem,mixed
0.7,MSC05,MSC06,mem,mixed
0.8,MSC05,MSC06,mem,mixed
0.6,MSC05,MSC06,mem,mixed
0.65,MSC05,MSC06,mem,mixed
0.7,MSC05,MSC06,mem,mixed
0.7222222222222222,MSC05,MSC06,mem,motor
0.6111111111111112,MSC05,MSC06,mem,motor
0.6666666666666666,MSC05,MSC06,mem,motor
0.6111111111111112,MSC05,MSC06,mem,motor
0.6666666666666666,MSC05,MSC06,mem,motor
0.5555555555555556,MSC05,MSC06,mem,motor
0.6111111111111112,MSC05,MSC06,mem,motor
0.5,MSC05,MSC06,mem,motor
0.6111111111111112,MSC05,MSC06,mem,motor
0.6666666666666666,MSC05,MSC06,mem,motor
0.45,MSC05,MSC06,motor,mixed
0.7,MSC05,MSC06,motor,mixed
0.6,MSC05,MSC06,motor,mixed
0.75,MSC05,MSC06,motor,mixed
0.65,MSC05,MSC06,motor,mixed
0.65,MSC05,MSC06,motor,mixed
0.65,MSC05,MSC06,motor,mixed
0.65,MSC05,MSC06,motor,mixed
0.7,MSC05,MSC06,motor,mixed
0.65,MSC05,MSC06,motor,mixed
0.5,MSC05,MSC06,motor,mem
0.7,MSC05,MSC06,motor,mem
0.6,MSC05,MSC06,motor,mem
0.75,MSC05,MSC06,motor,mem
0.65,MSC05,MSC06,motor,mem
0.65,MSC05,MSC06,motor,mem
0.65,MSC05,MSC06,motor,mem
0.65,MSC05,MSC06,motor,mem
0.75,MSC05,MSC06,motor,mem
0.6,MSC05,MSC06,motor,mem
0.55,MSC05,MSC07,mixed,mem
0.55,MSC05,MSC07,mixed,mem
0.55,MSC05,MSC07,mixed,mem
0.55,MSC05,MSC07,mixed,mem
0.55,MSC05,MSC07,mixed,mem
0.6,MSC05,MSC07,mixed,mem
0.55,MSC05,MSC07,mixed,mem
0.55,MSC05,MSC07,mixed,mem
0.55,MSC05,MSC07,mixed,mem
0.6,MSC05,MSC07,mixed,mem
0.5555555555555556,MSC05,MSC07,mixed,motor
0.5555555555555556,MSC05,MSC07,mixed,motor
0.5555555555555556,MSC05,MSC07,mixed,motor
0.5555555555555556,MSC05,MSC07,mixed,motor
0.5555555555555556,MSC05,MSC07,mixed,motor
0.6111111111111112,MSC05,MSC07,mixed,motor
0.5555555555555556,MSC05,MSC07,mixed,motor
0.5555555555555556,MSC05,MSC07,mixed,motor
0.6111111111111112,MSC05,MSC07,mixed,motor
0.6111111111111112,MSC05,MSC07,mixed,motor
0.55,MSC05,MSC07,mem,mixed
0.55,MSC05,MSC07,mem,mixed
0.55,MSC05,MSC07,mem,mixed
0.35,MSC05,MSC07,mem,mixed
0.45,MSC05,MSC07,mem,mixed
0.55,MSC05,MSC07,mem,mixed
0.5,MSC05,MSC07,mem,mixed
0.45,MSC05,MSC07,mem,mixed
0.5,MSC05,MSC07,mem,mixed
0.4,MSC05,MSC07,mem,mixed
0.5555555555555556,MSC05,MSC07,mem,motor
0.4444444444444444,MSC05,MSC07,mem,motor
0.4444444444444444,MSC05,MSC07,mem,motor
0.4444444444444444,MSC05,MSC07,mem,motor
0.5,MSC05,MSC07,mem,motor
0.4444444444444444,MSC05,MSC07,mem,motor
0.5,MSC05,MSC07,mem,motor
0.4444444444444444,MSC05,MSC07,mem,motor
0.4444444444444444,MSC05,MSC07,mem,motor
0.3888888888888889,MSC05,MSC07,mem,motor
0.45,MSC05,MSC07,motor,mixed
0.55,MSC05,MSC07,motor,mixed
0.45,MSC05,MSC07,motor,mixed
0.45,MSC05,MSC07,motor,mixed
0.45,MSC05,MSC07,motor,mixed
0.4,MSC05,MSC07,motor,mixed
0.45,MSC05,MSC07,motor,mixed
0.45,MSC05,MSC07,motor,mixed
0.45,MSC05,MSC07,motor,mixed
0.4,MSC05,MSC07,motor,mixed
0.5,MSC05,MSC07,motor,mem
0.45,MSC05,MSC07,motor,mem
0.45,MSC05,MSC07,motor,mem
0.45,MSC05,MSC07,motor,mem
0.4,MSC05,MSC07,motor,mem
0.4,MSC05,MSC07,motor,mem
0.4,MSC05,MSC07,motor,mem
0.4,MSC05,MSC07,motor,mem
0.45,MSC05,MSC07,motor,mem
0.4,MSC05,MSC07,motor,mem
0.6,MSC05,MSC10,mixed,mem
0.65,MSC05,MSC10,mixed,mem
0.55,MSC05,MSC10,mixed,mem
0.8,MSC05,MSC10,mixed,mem
0.6,MSC05,MSC10,mixed,mem
0.55,MSC05,MSC10,mixed,mem
0.7,MSC05,MSC10,mixed,mem
0.65,MSC05,MSC10,mixed,mem
0.75,MSC05,MSC10,mixed,mem
0.75,MSC05,MSC10,mixed,mem
